Semantic attempt 0,Semantic attempt 0 sim,Semantic attempt 1,Semantic attempt 1 sim,Semantic attempt 2,Semantic attempt 2 sim,Number of improving translations (relative to initial result),Number of worsening translations (relative to initial result),Number of consistent translations (relative to initial result)
N/A,N/A,N/A,N/A,N/A,N/A,0,0,0
"eventually[7,18]globally(IL1Ra(t)=c(mid)) and eventually[3,18]globally(IL6(t)<c(high))",0.97897923,"eventually[7,18]globally(IL1Ra(t) = c(mid)) implies globally[3,inf](IL6(t) < c(high))",1.0000002,"eventually[7,18](IL1Ra(t)=c(mid)) implies globally[3,inf](IL6(t) < c(high))",0.9976951,2,0,0
"eventually[7,18](IL1Ra(t) = c(mid)) implies globally[3,inf](IL6(t) < c(high))",0.9976951,"eventually[7,18]globally(IL1Ra(t) = c(mid)) implies globally[3,18](IL6(t) = c(high))",0.9887098,"eventually[7,18](IL1Ra(t) = c(mid)) implies globally[3,inf](IL6(t) < c(high))",0.9976951,0,1,1
N/A,N/A,N/A,N/A,N/A,N/A,0,0,0
"eventually[7,18](IL1Ra(t) = c(mid)) implies globally[3,18](IL6(t) < c(high))",0.9938312,"eventually[7,18]globally(IL1Ra(t)=c(mid)) implies eventually[3,inf]globally(IL6(t)<c(high))",0.99767935,"eventually[7,18](IL1Ra(t)=c(mid)) implies globally[3,inf](IL6(t) < c(high))",0.9976951,2,0,0
"eventually[7,18]globally(IL1Ra(t) = c(mid)) implies eventually[3,inf]globally(IL6(t) < c(high))",0.99767935,"eventually[7,18]globally(IL1Ra(t) = c(mid)) and eventually[3,18]globally(IL6(t) = c(high))",0.97256005,"eventually[7,18]globally(IL1Ra(t)=c(mid)) implies eventually[3,18]globally(IL6(t)<c(high))",0.99363196,0,2,0
"eventually[7,18]globally(IL1Ra(t) = c(mid)) implies globally[3,18](IL6(t) < c(high))",0.99519956,N/A,N/A,"eventually[7,18]globally(IL1Ra(t) = c(mid)) implies globally[3,inf](IL6(t) < c(high))",1.0000002,1,1,0
"eventually[7,18]globally(IL1Ra(t) = c(mid)) implies eventually[3,inf]globally(IL6(t) < c(high))",0.99767935,"eventually[7,18]globally(IL1Ra(t) = c(mid)) implies eventually[3,18]globally(IL6(t) < c(high))",0.99363196,"eventually[7,18](IL1Ra(t) = c(mid)) implies eventually[3,18](IL6(t) < c(high))",0.98891896,0,2,0
"eventually[7,18]globally(IL1Ra(t) = c(mid)) implies eventually[3,18]globally(IL6(t) < c(high))",0.99363196,"eventually[7,18]globally(IL1Ra(t)=c(mid)) implies globally[3,18](IL6(t) < c(high))",0.99519956,"eventually[7,18]globally(IL1Ra(t) = c(mid)) implies globally[3,18](IL6(t) < c(high))",0.99519956,2,0,0
"eventually[7,18](IL1Ra(t) = c(mid)) implies globally[3,18](IL6(t) < c(high))",0.9938312,"eventually[7,18]globally(IL1Ra(t)=c(mid)) implies eventually[3,18](IL6(t) < c(high))",0.99300826,N/A,N/A,0,2,0
"eventually[7,18]globally(IL1Ra(t)=c(mid)) implies globally[3,inf](IL6(t) < c(high))",1.0000002,"globally[7,18](IL1Ra(t)=c(mid)) implies eventually[3,18]globally(IL6(t) < c(high))",0.99451023,"eventually[7,18](IL1Ra(t) = c(mid)) implies globally[3,inf](IL6(t) < c(high))",0.9976951,0,2,0
"eventually[7,18]globally(IL1Ra(t) = c(mid)) implies globally[3,18](IL6(t) < c(high))",0.99519956,"eventually[7,18]globally(IL1Ra(t) = c(mid)) implies eventually[3,18]globally(IL6(t) < c(high))",0.99363196,"eventually[7,18]globally(IL1Ra(t) = c(mid)) implies globally[3,inf](IL6(t) < c(high))",1.0000002,1,1,0
N/A,N/A,N/A,N/A,N/A,N/A,0,0,0
N/A,N/A,N/A,N/A,N/A,N/A,0,0,0
"eventually[7,18]globally(IL1Ra(t)=c(mid)) implies globally[3,18](IL6(t) < c(high))",0.99519956,"eventually[7,18](IL1Ra(t) = c(mid)) implies globally[3,inf](IL6(t) < c(high))",0.9976951,"eventually[7,18](IL1Ra(t)=c(mid)) implies globally[3,inf](IL6(t)<c(high))",0.9976951,2,0,0
"globally[7,18](IL1Ra(t) = c(mid)) implies globally[3,18](IL6(t) < c(high))",0.9919716,"globally[7,18](IL1Ra(t) = c(mid)) implies eventually[3,inf]globally(IL6(t) < c(high))",0.997515,"eventually[7,18]globally(IL1Ra(t) = c(mid)) implies globally[3,inf](IL6(t) < c(high))",1.0000002,2,0,0
"eventually[7,18]globally(IL1Ra(t) = c(mid)) implies globally[3,inf](IL6(t) < c(high))",1.0000002,"eventually[7,18](IL1Ra(t) = c(mid)) and globally[3,18](IL6(t) > c(low))",0.97212315,"eventually[7,18]globally(IL1Ra(t) = c(mid)) implies globally[3,inf](IL6(t) < c(high))",1.0000002,0,1,1
"eventually[7,18]globally(IL1Ra(t) = c(mid)) implies eventually[3,inf]globally(IL6(t) < c(high))",0.99767935,"eventually[7,18](IL1Ra(t) = c(mid)) implies eventually[3,18](IL6(t) < c(high))",0.98891896,N/A,N/A,0,2,0
