Semantic attempt 0,Semantic attempt 0 sim,Semantic attempt 1,Semantic attempt 1 sim,Semantic attempt 2,Semantic attempt 2 sim,Number of improving translations (relative to initial result),Number of worsening translations (relative to initial result),Number of consistent translations (relative to initial result)
N/A,N/A,N/A,N/A,N/A,N/A,0,0,0
N/A,N/A,N/A,N/A,N/A,N/A,0,0,0
N/A,N/A,N/A,N/A,N/A,N/A,0,0,0
"eventually[0,18]globally(IL6(t) = c(high))",1.0,"globally[0,18](IL6(t)=c(high))",0.9866389,N/A,N/A,0,2,0
IL6(t) = c(high) implies d_TNFα(t) < d_c(low),0.60974944,N/A,N/A,N/A,N/A,0,2,0
IL6(t) < c(high) and d_IL6(t) < d_c(high),0.6981199,"eventually[0,18]globally(d_IL6(t)=d_c(high))",0.8072543,N/A,N/A,1,1,0
"globally[0,18](IL6(t)=c(high))",0.9866389,IL6(t) = c(high),0.7963021,"IL6(t) = c(high) and globally[0,18](IL6(t) > c(mid))",0.92856216,0,2,0
d_IL6(t) = c(high),0.7963021,N/A,N/A,N/A,N/A,0,2,0
"IL6(t)=c(high) and globally[0,18](d_IL6(t)=d_c(high))",0.8367906,"eventually[0,18]globally(IL6(t) = c(high))",1.0,N/A,N/A,1,1,0
N/A,N/A,N/A,N/A,N/A,N/A,0,0,0
"eventually[0,18]globally(IL6(t)=c(high))",1.0,"globally[0,inf](d_IL6(t) < 0)",0.72625434,N/A,N/A,0,2,0
N/A,N/A,N/A,N/A,N/A,N/A,0,0,0
"globally[0,18](IL6(t) = c(high))",0.9866389,N/A,N/A,N/A,N/A,0,2,0
"eventually[0,18]globally(IL6(t) = c(high))
",1.0,N/A,N/A,"eventually[0,18](IL6(t) < c(high))",0.975592,0,2,0
IL6(t)=c(high) implies IL12(t) > c(high),0.744417,"eventually[0,18](IL6(t) = c(high))
",0.99150383,N/A,N/A,1,1,0
"globally[0,inf](IL6(t)=c(high))",0.96737355,N/A,N/A,"globally[0,inf](IL6(t) = c(high))",0.96737355,0,1,1
"IL6(t) < c(high) and globally[0,18](IL6(t) = c(high))",0.9458279,N/A,N/A,"eventually[0,inf](IL6(t)=c(high))",0.9628147,1,1,0
"globally[0,18](IL1Ra(t) = c(high))",0.8420769,"globally[0,18](IL6(t) < c(high))",0.9684657,"globally[0,18](IL6(t) = c(high))
",0.9866389,2,0,0
