Semantic attempt 0,Semantic attempt 0 sim,Semantic attempt 1,Semantic attempt 1 sim,Semantic attempt 2,Semantic attempt 2 sim,Number of improving translations (relative to initial result),Number of worsening translations (relative to initial result),Number of consistent translations (relative to initial result)
N/A,N/A,N/A,N/A,N/A,N/A,0,0,0
"eventually[7,12]globally(d_CCL2(t)=c(mid)) implies eventually[4,5](d_IL1α(t) < c(low)) and d_CCR2(t) = c(high)",0.40471166,N/A,N/A,N/A,N/A,0,2,0
N/A,N/A,N/A,N/A,N/A,N/A,0,0,0
N/A,N/A,N/A,N/A,N/A,N/A,0,0,0
"globally[0,inf](d_CCL2(t)=c(high) implies d_CCR2(t)=c(high))",0.34873527,N/A,N/A,N/A,N/A,0,2,0
"globally[0,inf](d_CCL2(t) > 0) implies eventually[1,inf](IFNα(t) > c(high))",0.23209892,N/A,N/A,N/A,N/A,0,2,0
"eventually[4, inf]globally(IL1Ra(t) > c(mid))",0.147401,"globally[19,inf](IL12(t)=c(mid))",0.116425894,N/A,N/A,0,2,0
"eventually[0,inf]globally(IL1Ra(t) < c(low))",0.12710023,"globally[3,inf](d_CCL2(t) > c(low) implies IL6(t) < c(high))",0.32443273,N/A,N/A,1,1,0
N/A,N/A,N/A,N/A,N/A,N/A,0,0,0
N/A,N/A,N/A,N/A,N/A,N/A,0,0,0
"globally[4,inf](d_CCR2(t) = c(mid)) and globally[1,1](d_CCL2(t) = d_c(low))",0.31939864,N/A,N/A,N/A,N/A,0,2,0
"d_IL17(t) < d_c(low) and eventually[6,11](SARSCoV2(t) > c(high) implies IL17(t) < c(high))",0.20441467,d_TNFα(t)=0 and IL12(t) < c(high),0.23620075,"eventually[8,15]globally(IFNβ(t)=c(high) implies IL1β(t) > c(high))",0.18594593,1,1,0
"eventually[2,inf]globally(IL1RN(t) > c(low))",0.15254168,"globally[2,inf](d_IL1β(t) < d_c(high))
",0.26364037,"globally[6,inf](d_IL1β(t) < 0)",0.25405854,2,0,0
"eventually[7,16](IFNβ(t)=c(mid))",0.039193705,"globally[0,inf](d_CCL2(t)=c(low) implies IL8(t) > c(mid))",0.33211428,N/A,N/A,1,1,0
"eventually[6,20]globally(IFNα(t) < c(mid) and TNFα(t)=c(low)) and eventually[1,11](d_IL6(t) < 0)",0.17260252,N/A,N/A,N/A,N/A,0,2,0
"globally[7,15](SARSCoV2(t)=c(mid))",0.20585325,N/A,N/A,N/A,N/A,0,2,0
N/A,N/A,N/A,N/A,N/A,N/A,0,0,0
"IFNα(t) < c(mid) and IFNβ(t) < c(mid) and globally[18,inf](d_IFNα(t)=0)",-0.029657893,N/A,N/A,"eventually[6,15]globally(d_IL6(t)=0)",0.11344009,1,1,0
