Semantic attempt 0,Semantic attempt 0 sim,Semantic attempt 1,Semantic attempt 1 sim,Semantic attempt 2,Semantic attempt 2 sim,Number of improving translations (relative to initial result),Number of worsening translations (relative to initial result),Number of consistent translations (relative to initial result)
d_IL8(t) > c(low) and d_IL8(t)=c(low) implies d_TNFα(t) > 0,0.6165798,d_IL8(t) > c(low) and d_IL8(t)=c(low) implies d_TNFα(t) > 0,0.6165798,d_IL8(t) > c(low) and d_IL8(t)=c(low) implies d_TNFα(t) > 0,0.6165798,0,0,2
IL1Ra(t) = c(mid) and IFNα(t) = c(high) and IL1β(t) = c(high) and SARSCoV2(t) = c(high) and IL1RN(t) = c(high),0.5395951,IL1Ra(t) = c(mid) and IFNα(t) = c(high) and IL1β(t) = c(high) and SARSCoV2(t) = c(high) and IL1RN(t) = c(high),0.5395951,"globally[0,18](d_IL8(t) > c(high))",0.587267,1,0,1
"globally[6, ∞](IL8(t) > c(high))",0.58319163,"globally[6, ∞](IL8(t) > c(high))",0.58319163,"globally[6, ∞](IL8(t) > c(high))",0.58319163,0,0,2
"globally[0,3](d_IL8(t) > d_c(high))",0.4893958,IL8(t) > c(high),0.54794604,IL8(t) > c(high),0.54794604,2,0,0
IL8(t)=c(mid) and IL12(t)=c(low),0.50489366,IL8(t)=c(mid) and IL12(t)=c(low),0.50489366,IL8(t)=c(mid) and IL12(t)=c(low),0.50489366,0,0,2
IL8(t) > c(high) and d_IL8(t) < d_c(high),0.5103689,IL8(t) > c(high),0.54794604,"eventually[3,∞]globally(IL8(t) > c(high))",0.56679565,2,0,0
IL8(t)=c(mid) and d_IL8(t) > 0,0.55729306,IL8(t)=c(mid) and d_IL8(t) > 0,0.55729306,IL8(t)=c(mid) and d_IL8(t) > 0,0.55729306,0,0,2
"eventually[7,12]globally(IL8(t) < c(mid))",0.5743146,"eventually[7,12]globally(IL8(t) < c(mid))",0.5743146,"eventually[7,12]globally(IL8(t) < c(mid))",0.5743146,0,0,2
"globally[20,∞](d_IL8(t) > d_c(high))
",0.5179841,"IL8(t) < c(low) and globally[6,15](d_IL8(t) > d_c(high)) and IL8(t) > c(high)",0.602062,"IL8(t) < c(low) and globally[6,15](d_IL8(t) > d_c(high)) and IL8(t) > c(high)",0.602062,2,0,0
IL6(t) > c(mid) implies SARSCoV2(t) < c(high),0.5553742,"IL8(t) = c(high) and globally[1,3](d_IL8(t) > d_c(low))",0.56116575,"IL8(t) = c(high) and globally[1,3](d_IL8(t) > d_c(low))",0.56116575,2,0,0
"eventually[0,∞](d_IL8(t) > c(low)) and d_IL8(t)=c(low)",0.536402,"eventually[0,∞](d_IL8(t) > c(low)) and d_IL8(t)=c(low)",0.536402,"eventually[0,∞](d_IL8(t) > c(low)) and d_IL8(t)=c(low)",0.536402,0,0,2
"eventually[6,18]globally(d_IL8(t) > 0)",0.56010485,"eventually[6,18]globally(d_IL8(t) > 0)",0.56010485,"eventually[6,18]globally(d_IL8(t) > 0)",0.56010485,0,0,2
"globally[0,3](d_IL8(t) > 0)",0.50815624,IL8(t) > c(high),0.54794604,IL8(t) > c(high),0.54794604,2,0,0
"eventually[5,11]globally(SARSCoV2(t) < c(mid))",0.38473117,"globally[3,∞](IL8(t) > c(high)) implies eventually[5,∞](IL8(t) = c(mid))",0.57227296,"globally[3,∞](IL8(t) > c(high)) implies eventually[5,∞](IL8(t) = c(mid))",0.57227296,2,0,0
"globally[3, ∞](d_IL8(t) = c(high))",0.55398154,"globally[6,9](IL8(t) > c(high))",0.5926877,"globally[6,9](IL8(t) > c(high))",0.5926877,2,0,0
"globally[9,12](IL6(t)=c(mid)) and IL1RN(t) > c(mid)",0.54554194,"IL8(t) > c(high) and eventually[0,3](d_IL8(t) = d_c(high))",0.57073,"IL8(t) > c(high) and eventually[0,3](d_IL8(t) = d_c(high))",0.57073,2,0,0
"globally[0,3](IL8(t) > c(low))",0.5406405,"globally[0,3](IL8(t) > c(low))",0.5406405,"globally[0,3](IL8(t) > c(low))",0.5406405,0,0,2
"globally[6,14](d_IFNβ(t) > 0)",0.22419941,"globally[6,14](d_IFNβ(t) > 0)",0.22419941,IL8(t) > c(high) and d_IL8(t) < d_c(high),0.5103689,1,0,1
