Semantic attempt 0,Semantic attempt 0 sim,Semantic attempt 1,Semantic attempt 1 sim,Semantic attempt 2,Semantic attempt 2 sim,Number of improvements (relative to start)
"eventually[1,7]globally(IL6(t)=c(high)) and eventually[7,∞]globally(d_IL6(t) < 0)",0.7451376,"eventually[1,7]globally(IL6(t)=c(high)) and eventually[7,∞]globally(d_IL6(t) < 0)",0.7451376,"eventually[1,7]globally(IL6(t)=c(high)) and eventually[7,∞]globally(d_IL6(t) < 0)",0.7451376,0
N/A,N/A,N/A,N/A,N/A,N/A,0
"eventually[0,7]globally(IL6(t) < c(high)) implies eventually[0,7]globally(IL6(t) < c(low))",0.6862037,"eventually[0,7]globally(IL6(t) = c(mid)) and eventually[7,∞]globally(IL6(t) < c(low)) and eventually[0,7]globally(d_IL6(t) < 0)",0.7748975,"eventually[0,7]globally(IL6(t) = c(mid)) and eventually[7,∞]globally(IL6(t) < c(low)) and eventually[0,7]globally(d_IL6(t) < 0)",0.7748975,2
N/A,N/A,N/A,N/A,N/A,N/A,0
"eventually[0,7]globally(IL6(t) > c(mid) and IL6(t) > c(low)) and d_IL6(t) < d_c(high)",0.756342,"eventually[0,7]globally(IL6(t) > c(mid) and IL6(t) > c(low)) and d_IL6(t) < d_c(high)",0.756342,"eventually[0,7]globally(IL6(t) > c(mid) and IL6(t) > c(low)) and d_IL6(t) < d_c(high)",0.756342,0
N/A,N/A,N/A,N/A,N/A,N/A,0
"globally[0,7](IL6(t)=c(high) implies d_IL6(t) < d_c(high))",0.655434,"eventually[0,7]globally(IL6(t)=c(high)) implies eventually[7,∞]globally(IL6(t) < c(high))",0.6917238,"eventually[1,7]globally(IL6(t)=c(high)) and eventually[7,∞]globally(IL6(t)=c(mid))",0.7663942,2
"eventually[1,7]globally(IL6(t) = c(high)) and eventually[1,7]globally(d_IL6(t) < 0)",0.7611499,"eventually[1,7]globally(IL6(t) = c(high)) and eventually[1,7]globally(d_IL6(t) < 0)",0.7611499,"eventually[1,7]globally(IL6(t) = c(high)) and eventually[1,7]globally(d_IL6(t) < 0)",0.7611499,0
"globally[1,7](IL6(t)=c(high)) and eventually[7,∞](IL6(t) < c(high))",0.7282323,"globally[1,7](IL6(t)=c(high)) and eventually[7,∞](IL6(t) < c(high))",0.7282323,"globally[1,7](IL6(t)=c(high)) and eventually[7,∞](IL6(t) < c(high))",0.7282323,0
"eventually[0,7](IL6(t) > c(high)) and eventually[7,∞](IL6(t) < c(high))",0.7086555,"eventually[0,7](IL6(t) > c(high)) and eventually[7,∞](IL6(t) < c(high))",0.7086555,"eventually[0,7](IL6(t) > c(high)) and eventually[7,∞](IL6(t) < c(high))",0.7086555,0
"globally[0,7](IL6(t) > c(high)) and eventually[7,∞](IL6(t) < c(high))",0.71372366,"globally[0,∞](IL6(t) > c(mid) and IL6(t) < c(low)) and eventually[0,7]globally(IL6(t) = c(mid)) and eventually[7,∞]globally(IL6(t) < c(low))",0.7659949,"globally[0,∞](IL6(t) > c(mid) and IL6(t) < c(low)) and eventually[0,7]globally(IL6(t) = c(mid)) and eventually[7,∞]globally(IL6(t) < c(low))",0.7659949,2
"globally[0,7](IL6(t)=c(high)) and d_IL6(t) < 0",0.7326628,"globally[0,7](IL6(t)=c(high)) and d_IL6(t) < 0",0.7326628,"globally[0,7](IL6(t)=c(high)) and d_IL6(t) < 0",0.7326628,0
"globally[0,7](IL6(t)=c(high)) and globally[7,∞](d_IL6(t) < d_c(high))",0.6884291,"eventually[0,7]globally(IL6(t) > c(mid)) and eventually[7,∞]globally(IL6(t) < c(low))",0.74619985,"eventually[0,7]globally(IL6(t) > c(mid)) and eventually[7,∞]globally(IL6(t) < c(low))",0.74619985,2
"globally[0,1](IL6(t) > c(high)) and eventually[1,∞]globally(IL6(t) < c(high))",0.70481527,"eventually[1,7]globally(IL6(t) > c(high)) and d_IL6(t) < d_c(high)",0.720296,"eventually[1,7]globally(IL6(t) > c(high)) and d_IL6(t) < d_c(high)",0.720296,2
"globally[0,7](IL6(t)=c(high)) and eventually[7,∞](IL6(t) < c(high))",0.7151062,"globally[0,7](IL6(t)=c(high)) and eventually[7,∞](IL6(t) < c(high))",0.7151062,"globally[0,7](IL6(t)=c(high)) and eventually[7,∞](IL6(t) < c(high))",0.7151062,0
"eventually[0,7]globally(IL6(t) > c(mid)) and eventually[7,∞]globally(IL6(t) < c(high))",0.7543994,"eventually[0,7]globally(IL6(t) > c(mid)) and eventually[7,∞]globally(IL6(t) < c(high))",0.7543994,"eventually[0,7]globally(IL6(t) > c(mid)) and eventually[7,∞]globally(IL6(t) < c(high))",0.7543994,0
"eventually[0,7]globally(IL6(t) > c(high)) and IL6(t) < c(mid)",0.7794192,"eventually[0,7]globally(IL6(t) > c(high)) and IL6(t) < c(mid)",0.7794192,"eventually[0,7]globally(IL6(t) > c(high)) and IL6(t) < c(mid)",0.7794192,0
N/A,N/A,N/A,N/A,N/A,N/A,0
