Semantic attempt 0,Semantic attempt 0 sim,Semantic attempt 1,Semantic attempt 1 sim,Semantic attempt 2,Semantic attempt 2 sim,Number of improvements (relative to start)
N/A,N/A,N/A,N/A,N/A,N/A,0
N/A,N/A,N/A,N/A,N/A,N/A,0
"eventually[1,7]globally(IFNβ(t)=c(mid)) and eventually[8,14]globally(IFNβ(t) > c(high)) and eventually[15,∞]globally(IFNβ(t) > c(high))",0.5801582,"eventually[1,7]globally(IFNβ(t)=c(mid)) and eventually[8,14]globally(IFNβ(t) > c(high)) and eventually[15,∞]globally(IFNβ(t) > c(high))",0.5801582,"eventually[1,7]globally(IFNβ(t)=c(mid)) and eventually[8,14]globally(IFNβ(t) > c(high)) and eventually[15,∞]globally(IFNβ(t) > c(high))",0.5801582,0
N/A,N/A,N/A,N/A,N/A,N/A,0
N/A,N/A,N/A,N/A,N/A,N/A,0
"eventually[1,7]globally(d_IFNβ(t) = d_c(low)) implies eventually[8,14]globally(d_IFNβ(t) > d_c(high)) and eventually[14,∞]globally(d_IFNβ(t) > d_c(high))",0.45704585,"globally[1,7](IFNβ(t)=c(mid)) and eventually[8,14]globally(IFNβ(t) > c(high)) and eventually[14,∞]globally(IFNβ(t) > c(high))",0.5829498,"globally[1,7](IFNβ(t)=c(mid)) and eventually[8,14]globally(IFNβ(t) > c(high)) and eventually[14,∞]globally(IFNβ(t) > c(high))",0.5829498,2
N/A,N/A,N/A,N/A,N/A,N/A,0
N/A,N/A,N/A,N/A,N/A,N/A,0
N/A,N/A,N/A,N/A,N/A,N/A,0
"globally[1,7](IFNβ(t) = c(mid)) and eventually[8,14]globally(IFNβ(t) > c(mid)) and eventually[14,∞]globally(IFNβ(t) > c(mid))",0.5878773,"globally[1,7](IFNβ(t) = c(mid)) and eventually[8,14]globally(IFNβ(t) > c(mid)) and eventually[14,∞]globally(IFNβ(t) > c(mid))",0.5878773,"globally[1,7](IFNβ(t) = c(mid)) and eventually[8,14]globally(IFNβ(t) > c(mid)) and eventually[14,∞]globally(IFNβ(t) > c(mid))",0.5878773,0
N/A,N/A,N/A,N/A,N/A,N/A,0
"IFNβ(t) = c(mid) and globally[1,7](IFNβ(t) = c(mid)) and eventually[8,14](IFNβ(t) > c(mid)) and eventually[15,∞](IFNβ(t) > c(mid)) and globally[1,7](IFNβ(t) = c(mid)) and eventually[8,14](IFNβ(t) > c(mid)) and eventually[15,∞](IFNβ(t) > c(mid))",0.5946988,"IFNβ(t) = c(mid) and globally[1,7](IFNβ(t) = c(mid)) and eventually[8,14](IFNβ(t) > c(mid)) and eventually[15,∞](IFNβ(t) > c(mid)) and globally[1,7](IFNβ(t) = c(mid)) and eventually[8,14](IFNβ(t) > c(mid)) and eventually[15,∞](IFNβ(t) > c(mid))",0.5946988,"IFNβ(t) = c(mid) and globally[1,7](IFNβ(t) = c(mid)) and eventually[8,14](IFNβ(t) > c(mid)) and eventually[15,∞](IFNβ(t) > c(mid)) and globally[1,7](IFNβ(t) = c(mid)) and eventually[8,14](IFNβ(t) > c(mid)) and eventually[15,∞](IFNβ(t) > c(mid))",0.5946988,0
N/A,N/A,N/A,N/A,N/A,N/A,0
"eventually[1,7]globally(IFNβ(t) = c(mid)) and eventually[8,14]globally(IFNβ(t) > c(high)) and eventually[15,∞]globally(IFNβ(t) > c(high)) and eventually[1,7]globally(IFNβ(t) = c(mid)) implies eventually[1,7]globally(IFNβ(t) > c(high)) and eventually[15,∞]globally(IFNβ(t) > c(high))",0.5604359,"eventually[1,7]globally(IFNβ(t) = c(mid)) and eventually[8,14]globally(IFNβ(t) > c(high)) and eventually[15,∞]globally(IFNβ(t) > c(high)) and eventually[1,7]globally(IFNβ(t) = c(mid)) implies eventually[1,7]globally(IFNβ(t) > c(high)) and eventually[15,∞]globally(IFNβ(t) > c(high))",0.5604359,"eventually[1,7]globally(IFNβ(t) = c(mid)) and eventually[8,14]globally(IFNβ(t) > c(high)) and eventually[15,∞]globally(IFNβ(t) > c(high)) and eventually[1,7]globally(IFNβ(t) = c(mid)) implies eventually[1,7]globally(IFNβ(t) > c(high)) and eventually[15,∞]globally(IFNβ(t) > c(high))",0.5604359,0
N/A,N/A,N/A,N/A,N/A,N/A,0
N/A,N/A,N/A,N/A,N/A,N/A,0
N/A,N/A,N/A,N/A,N/A,N/A,0
N/A,N/A,N/A,N/A,N/A,N/A,0
