sentence,group,step,stl_formula,label,cosine_sim
"In patients with COVID-19, SARS-CoV-2-specific T-cells appear in peripheral blood within two weeks of symptom onset (31).",2,raw,"eventually[0,14](d_tcells(t) > 0)",,0.413038
"In patients with COVID-19, SARS-CoV-2-specific T-cells appear in peripheral blood within two weeks of symptom onset (31).",2,raw,"eventually[0,14](tcells(t) > c(low))",,0.427858
"In patients with COVID-19, SARS-CoV-2-specific T-cells appear in peripheral blood within two weeks of symptom onset (31).",2,raw,"eventually[0,14](d_tcells(t) > 0)",,0.413038
"In patients with COVID-19, SARS-CoV-2-specific T-cells appear in peripheral blood within two weeks of symptom onset (31).",2,raw,"eventually[0,14](d_tcells(t) > 0)",,0.413038
"In patients with COVID-19, SARS-CoV-2-specific T-cells appear in peripheral blood within two weeks of symptom onset (31).",2,raw,"eventually[0,14](tcells(t) > tcells(0))",,0.343547
"In patients with COVID-19, SARS-CoV-2-specific T-cells appear in peripheral blood within two weeks of symptom onset (31).",2,raw,"eventually[0,14](d_tcells(t) > 0)",,0.413038
"In patients with COVID-19, SARS-CoV-2-specific T-cells appear in peripheral blood within two weeks of symptom onset (31).",2,raw,"eventually[0,14](d_tcells(t) > 0)",,0.413038
"In patients with COVID-19, SARS-CoV-2-specific T-cells appear in peripheral blood within two weeks of symptom onset (31).",2,raw,"eventually[0,14](d_tcells(t) > d_c(low))",,0.392411
"In patients with COVID-19, SARS-CoV-2-specific T-cells appear in peripheral blood within two weeks of symptom onset (31).",2,raw,"eventually[0,14](d_tcells(t) > 0)",,0.413038
"In patients with COVID-19, SARS-CoV-2-specific T-cells appear in peripheral blood within two weeks of symptom onset (31).",2,raw,"eventually[0,14](tcells(t) > c(low))",,0.427858
"In patients with COVID-19, SARS-CoV-2-specific T-cells appear in peripheral blood within two weeks of symptom onset (31).",2,raw,"eventually[0,14](tcells(t) > c(low))",,0.427858
"In patients with COVID-19, SARS-CoV-2-specific T-cells appear in peripheral blood within two weeks of symptom onset (31).",2,raw,"eventually[0,14](d_tcells(t) > 0)",,0.413038
"In patients with COVID-19, SARS-CoV-2-specific T-cells appear in peripheral blood within two weeks of symptom onset (31).",2,raw,"eventually[0,14](tcells(t) > c(high))",,0.432122
"In patients with COVID-19, SARS-CoV-2-specific T-cells appear in peripheral blood within two weeks of symptom onset (31).",2,raw,"eventually[0,14](tcells(t) > c(low))",,0.427858
"In patients with COVID-19, SARS-CoV-2-specific T-cells appear in peripheral blood within two weeks of symptom onset (31).",2,consolidated,"eventually[0,14](tcells(t) > c(low))",1,0.427858
This is the reason that seroconversion (undetectable stage to production of IgM followed by IgG) in 100% of infected people (with positive virus-specific IgG) is achieved 17–19 days after commencement of indications [7].,1,raw,"eventually[17,19]globally(igm(t) > c(low) and igg(t) > c(low))",,0.623148
This is the reason that seroconversion (undetectable stage to production of IgM followed by IgG) in 100% of infected people (with positive virus-specific IgG) is achieved 17–19 days after commencement of indications [7].,1,raw,"eventually[17,19]globally(igm(t) > c(low) and igg(t) > c(low))",,0.623148
This is the reason that seroconversion (undetectable stage to production of IgM followed by IgG) in 100% of infected people (with positive virus-specific IgG) is achieved 17–19 days after commencement of indications [7].,1,raw,"eventually[0,17](igm(t) < c(low) and igg(t) < c(low)) and eventually[17,19]globally(igg(t) > c(low))",,0.599426
This is the reason that seroconversion (undetectable stage to production of IgM followed by IgG) in 100% of infected people (with positive virus-specific IgG) is achieved 17–19 days after commencement of indications [7].,1,raw,"eventually[17,19](igg(t) > c(high))",,0.498016
This is the reason that seroconversion (undetectable stage to production of IgM followed by IgG) in 100% of infected people (with positive virus-specific IgG) is achieved 17–19 days after commencement of indications [7].,1,raw,"eventually[0,17](igm(t) > c(low)) and eventually[17,19]globally(igg(t) > c(low))",,0.561434
This is the reason that seroconversion (undetectable stage to production of IgM followed by IgG) in 100% of infected people (with positive virus-specific IgG) is achieved 17–19 days after commencement of indications [7].,1,raw,"eventually[17,19]globally(igm(t) > igm(0) and igg(t) > igg(0))",,0.598359
This is the reason that seroconversion (undetectable stage to production of IgM followed by IgG) in 100% of infected people (with positive virus-specific IgG) is achieved 17–19 days after commencement of indications [7].,1,raw,"eventually[0,17]globally(d_igm(t) > 0) implies globally[17,19](igg(t) > c(low))",,0.474965
This is the reason that seroconversion (undetectable stage to production of IgM followed by IgG) in 100% of infected people (with positive virus-specific IgG) is achieved 17–19 days after commencement of indications [7].,1,raw,"eventually[17,19]globally(igg(t) > c(low))",,0.499724
This is the reason that seroconversion (undetectable stage to production of IgM followed by IgG) in 100% of infected people (with positive virus-specific IgG) is achieved 17–19 days after commencement of indications [7].,1,raw,"eventually[17,19]globally(igm(t) > c(low) and igg(t) > c(low))",,0.623148
This is the reason that seroconversion (undetectable stage to production of IgM followed by IgG) in 100% of infected people (with positive virus-specific IgG) is achieved 17–19 days after commencement of indications [7].,1,raw,"eventually[17,19]globally(igm(t) > c(low) and igg(t) > c(low))",,0.623148
This is the reason that seroconversion (undetectable stage to production of IgM followed by IgG) in 100% of infected people (with positive virus-specific IgG) is achieved 17–19 days after commencement of indications [7].,1,raw,"eventually[17,19]globally(igm(t) > c(low) and igg(t) > c(low))",,0.623148
This is the reason that seroconversion (undetectable stage to production of IgM followed by IgG) in 100% of infected people (with positive virus-specific IgG) is achieved 17–19 days after commencement of indications [7].,1,raw,"eventually[17,19]globally(igg(t) > c(high))",,0.488738
This is the reason that seroconversion (undetectable stage to production of IgM followed by IgG) in 100% of infected people (with positive virus-specific IgG) is achieved 17–19 days after commencement of indications [7].,1,raw,"eventually[17,19]globally(igg(t) > c(low))",,0.499724
This is the reason that seroconversion (undetectable stage to production of IgM followed by IgG) in 100% of infected people (with positive virus-specific IgG) is achieved 17–19 days after commencement of indications [7].,1,raw,"eventually[17,19](igm(t) > c(low) and igg(t) > c(low))",,0.622595
This is the reason that seroconversion (undetectable stage to production of IgM followed by IgG) in 100% of infected people (with positive virus-specific IgG) is achieved 17–19 days after commencement of indications [7].,1,consolidated,"eventually[17,19]globally(igm(t) > c(low) and igg(t) > c(low))",1,0.623148
"Following day 10, IL-6 remains increased whereas IFN-α tapered.",2,raw,"globally[10,inf](il6(t) > c(mid) and d_ifnα(t) < 0)",,0.846085
"Following day 10, IL-6 remains increased whereas IFN-α tapered.",2,raw,"globally[10,inf](il6(t) > c(high) and d_ifnα(t) < 0)",,0.848168
"Following day 10, IL-6 remains increased whereas IFN-α tapered.",2,raw,"globally[10,inf](il6(t) > il6(0) and d_ifnα(t) < 0)",,0.842642
"Following day 10, IL-6 remains increased whereas IFN-α tapered.",2,raw,"globally[10,inf](il6(t) > il6(0) and d_ifnα(t) < 0)",,0.842642
"Following day 10, IL-6 remains increased whereas IFN-α tapered.",2,raw,"globally[10,inf](il6(t) > c(mid) and d_ifnα(t) < 0)",,0.846085
"Following day 10, IL-6 remains increased whereas IFN-α tapered.",2,raw,"globally[10,inf](il6(t) > c(mid) and d_ifnα(t) < 0)",,0.846085
"Following day 10, IL-6 remains increased whereas IFN-α tapered.",2,raw,"globally[10,inf](il6(t) > il6(10) and d_ifnα(t) < 0)",,0.851056
"Following day 10, IL-6 remains increased whereas IFN-α tapered.",2,raw,"globally[10,inf](il6(t) > c(high) and d_ifnα(t) < 0)",,0.848168
"Following day 10, IL-6 remains increased whereas IFN-α tapered.",2,raw,"globally[10,inf](il6(t) > il6(10) and d_ifnα(t) < 0)",,0.851056
"Following day 10, IL-6 remains increased whereas IFN-α tapered.",2,raw,"globally[10,inf](il6(t) > c(high) and d_ifnα(t) < 0)",,0.848168
"Following day 10, IL-6 remains increased whereas IFN-α tapered.",2,raw,"globally[10,inf](il6(t) > c(mid) and d_ifnα(t) < 0)",,0.846085
"Following day 10, IL-6 remains increased whereas IFN-α tapered.",2,consolidated,"globally[10,inf](il6(t) > c(high) and d_ifnα(t) < 0)",1,0.848168
"Two days postinfection, permissive Vero cells produced high peak titers of 5 x 10^6 TCID_50s/ml and 1 x 10^7 TCID_50s/ml of MERS- and SARS-CoV, respectively (Fig. 1B, panel i).",2,raw,"globally[2,2](merscov(t) = c(high) and sarscov(t) = c(high))",,0.499580
"Two days postinfection, permissive Vero cells produced high peak titers of 5 x 10^6 TCID_50s/ml and 1 x 10^7 TCID_50s/ml of MERS- and SARS-CoV, respectively (Fig. 1B, panel i).",2,raw,"eventually[2,2](merscov(t) = c(high) and sarscov(t) = c(high))",,0.495167
"Two days postinfection, permissive Vero cells produced high peak titers of 5 x 10^6 TCID_50s/ml and 1 x 10^7 TCID_50s/ml of MERS- and SARS-CoV, respectively (Fig. 1B, panel i).",2,consolidated,"globally[2,2](merscov(t) = c(high) and sarscov(t) = c(high))",0,0.499580
"In parallel, stimulation with CpG 2216 also resulted in lower, but clearly detectable, amounts of IFNs.",2,raw,cpg2216(t) > c(mid) implies ifn(t) > c(low),,0.625284
"In parallel, stimulation with CpG 2216 also resulted in lower, but clearly detectable, amounts of IFNs.",2,raw,"eventually[0,inf](cpg2216(t) > c(high) implies ifn(t) > c(low))",,0.588834
"In parallel, stimulation with CpG 2216 also resulted in lower, but clearly detectable, amounts of IFNs.",2,consolidated,cpg2216(t) > c(mid) implies ifn(t) > c(low),1,0.625284
Circulating IL-1α also was not detected (fig. S9F).,2,raw,"globally[0,inf](il1α(t) = c(low))",,0.568957
Circulating IL-1α also was not detected (fig. S9F).,2,raw,"globally[0,inf](il1α(t) = c(low))",,0.568957
Circulating IL-1α also was not detected (fig. S9F).,2,raw,"globally[0,inf](il1α(t) = c(low))",,0.568957
Circulating IL-1α also was not detected (fig. S9F).,2,raw,il1α(t) < c(low),,0.674816
Circulating IL-1α also was not detected (fig. S9F).,2,raw,"globally[0,inf](il1α(t) = c(low))",,0.568957
Circulating IL-1α also was not detected (fig. S9F).,2,raw,"globally[0,inf](il1α(t) = c(low))",,0.568957
Circulating IL-1α also was not detected (fig. S9F).,2,consolidated,"globally[0,inf](il1α(t) = c(low))",1,0.568957
Circulating IL-1α also was not detected (fig. S9F).,2,consolidated,il1α(t) < c(low),1,0.674816
"Monocyte chemotactic factor chemokine(C-C motif) ligand 2 (CCL2) was increased in the blood of infected patients as well as the transcripts of its receptor CCR2; this was associated with low counts of circulating inflammatory monocytes (Fig. 4I), suggesting a role for the CCL2/CCR2 axis in the monocyte chemo-attraction into the inflamed lungs.",0,raw,ccl2(t) > c(mid) and ccr2(t) > c(mid) and monocytes(t) < c(low),,0.634610
"Monocyte chemotactic factor chemokine(C-C motif) ligand 2 (CCL2) was increased in the blood of infected patients as well as the transcripts of its receptor CCR2; this was associated with low counts of circulating inflammatory monocytes (Fig. 4I), suggesting a role for the CCL2/CCR2 axis in the monocyte chemo-attraction into the inflamed lungs.",0,raw,d_ccl2(t) > 0 and d_ccr2(t) > 0 and monocytes(t) < c(low),,0.627280
"Monocyte chemotactic factor chemokine(C-C motif) ligand 2 (CCL2) was increased in the blood of infected patients as well as the transcripts of its receptor CCR2; this was associated with low counts of circulating inflammatory monocytes (Fig. 4I), suggesting a role for the CCL2/CCR2 axis in the monocyte chemo-attraction into the inflamed lungs.",0,raw,d_ccl2(t) > 0 and d_ccr2(t) > 0 and monocytes(t) < c(low),,0.627280
