Semantic attempt 0,Semantic attempt 0 sim,Semantic attempt 1,Semantic attempt 1 sim,Semantic attempt 2,Semantic attempt 2 sim,Number of improving translations (relative to initial result),Number of worsening translations (relative to initial result),Number of consistent translations (relative to initial result)
N/A,N/A,N/A,N/A,N/A,N/A,0,0,2
N/A,N/A,N/A,N/A,N/A,N/A,0,0,2
"eventually[14,∞]globally(d_IL12(t)=d_c(low))",0.6293714,"eventually[14,∞]globally(d_IL12(t)=d_c(low))",0.6293714,"eventually[14,∞]globally(d_IL12(t)=d_c(low))",0.6293714,0,0,2
N/A,N/A,N/A,N/A,N/A,N/A,0,0,2
"eventually[14,∞]globally(IL12(t) = c(high))",0.7581854,"eventually[14,∞]globally(IL12(t) = c(high))",0.7581854,"eventually[14,∞]globally(IL12(t) = c(high))",0.7581854,0,0,2
d_IL12(t) = c(high),0.7085985,d_IL12(t) = c(high),0.7085985,d_IL12(t) = c(high),0.7085985,0,0,2
N/A,N/A,N/A,N/A,N/A,N/A,0,0,2
IL12(t)=c(high) implies d_SARSCoV2(t) > d_c(high),0.53563464,IL12(t)=c(high) implies d_SARSCoV2(t) > d_c(high),0.53563464,IL12(t)=c(high) implies d_SARSCoV2(t) > d_c(high),0.53563464,0,0,2
N/A,N/A,N/A,N/A,N/A,N/A,0,0,2
IL12(t) = c(high),0.7085985,IL12(t) = c(high),0.7085985,IL12(t) = c(high),0.7085985,0,0,2
N/A,N/A,N/A,N/A,N/A,N/A,0,0,2
"eventually[14, ∞]globally(IL12(t) > c(high))",0.7672795,"eventually[14, ∞]globally(IL12(t) > c(high))",0.7672795,"eventually[14, ∞]globally(IL12(t) > c(high))",0.7672795,0,0,2
IL8(t) > c(mid) implies IL1Ra(t)=c(high),0.5487879,IL8(t) > c(mid) implies IL1Ra(t)=c(high),0.5487879,IL8(t) > c(mid) implies IL1Ra(t)=c(high),0.5487879,0,0,2
d_IL12(t) = c(mid),0.6954911,d_IL12(t) = c(mid),0.6954911,d_IL12(t) = c(mid),0.6954911,0,0,2
IL12(t) > c(high),0.714465,IL12(t) > c(high),0.714465,IL12(t) > c(high),0.714465,0,0,2
"eventually[14,∞]globally(d_IL12(t)=0)",0.6130331,"eventually[14,∞]globally(d_IL12(t)=0)",0.6130331,"eventually[14,∞]globally(d_IL12(t)=0)",0.6130331,0,0,2
N/A,N/A,N/A,N/A,N/A,N/A,0,0,2
IL12(t) < c(high) and d_IL12(t) = d_c(low),0.6492276,IL12(t) < c(high) and d_IL12(t) = d_c(low),0.6492276,IL12(t) < c(high) and d_IL12(t) = d_c(low),0.6492276,0,0,2
IL12(t) = c(high),0.7085985,IL12(t) = c(high),0.7085985,IL12(t) = c(high),0.7085985,0,0,2
d_IL12(t) = c(high),0.7085985,d_IL12(t) = c(high),0.7085985,d_IL12(t) = c(high),0.7085985,0,0,2
IL12(t)=c(high),0.7085985,IL12(t)=c(high),0.7085985,IL12(t)=c(high),0.7085985,0,0,2
N/A,N/A,N/A,N/A,N/A,N/A,0,0,2
N/A,N/A,N/A,N/A,N/A,N/A,0,0,2
"eventually[14, ∞]globally(IL12(t) = c(high))",0.7581854,"eventually[14, ∞]globally(IL12(t) = c(high))",0.7581854,"eventually[14, ∞]globally(IL12(t) = c(high))",0.7581854,0,0,2
IL12(t)=c(high),0.7085985,IL12(t)=c(high),0.7085985,IL12(t)=c(high),0.7085985,0,0,2
"globally[7,11](TNFα(t) < c(mid))",0.4916116,"globally[7,11](TNFα(t) < c(mid))",0.4916116,IL12(t) = c(high),0.7085985,1,0,1
d_IL12(t) > c(high),0.714465,d_IL12(t) > c(high),0.714465,d_IL12(t) > c(high),0.714465,0,0,2
IL12(t)=c(high) implies d_IL12(t)=0,0.63628,IL12(t)=c(high) implies d_IL12(t)=0,0.63628,IL12(t)=c(high) implies d_IL12(t)=0,0.63628,0,0,2
N/A,N/A,N/A,N/A,N/A,N/A,0,0,2
IL12(t)=c(high) implies d_SARSCoV2(t) > d_c(high),0.53563464,IL12(t) = c(high),0.7085985,IL12(t) = c(high),0.7085985,2,0,0
"eventually[14,∞]globally(d_IL12(t)=0) and d_IL12(t) > c(high)",0.72306013,"eventually[14,∞]globally(d_IL12(t)=0) and d_IL12(t) > c(high)",0.72306013,"eventually[14,∞]globally(d_IL12(t)=0) and d_IL12(t) > c(high)",0.72306013,0,0,2
IL12(t) = c(high),0.7085985,IL12(t) = c(high),0.7085985,IL12(t) = c(high),0.7085985,0,0,2
N/A,N/A,N/A,N/A,N/A,N/A,0,0,2
d_IL12(t) = c(mid) implies d_IL12(t) < c(low),0.6997676,d_IL12(t) = c(mid) implies d_IL12(t) < c(low),0.6997676,d_IL12(t) = c(mid) implies d_IL12(t) < c(low),0.6997676,0,0,2
d_IL12(t)=c(low) and d_IL12(t)=c(high),0.68374693,d_IL12(t)=c(low) and d_IL12(t)=c(high),0.68374693,d_IL12(t) = c(high),0.7085985,1,0,1
IL12(t)=c(high),0.7085985,IL12(t)=c(high),0.7085985,IL12(t)=c(high),0.7085985,0,0,2
"globally[14,∞](d_IL12(t) = c(high))",0.750351,"globally[14,∞](d_IL12(t) = c(high))",0.750351,"globally[14,∞](d_IL12(t) = c(high))",0.750351,0,0,2
"globally[0, ∞](d_IL12(t) < c(high))",0.7402307,"globally[0, ∞](d_IL12(t) < c(high))",0.7402307,"globally[14, ∞](d_IL12(t) = c(high))",0.750351,1,0,1
IL12(t) = c(high),0.7085985,IL12(t) = c(high),0.7085985,IL12(t) = c(high),0.7085985,0,0,2
"eventually[6,18]globally(d_IL6(t) > 0)",0.5176624,d_IL12(t) = c(high),0.7085985,d_IL12(t) = c(high),0.7085985,2,0,0
"eventually[14,∞](IL12(t) < c(high))",0.7711704,"eventually[14,∞](IL12(t) < c(high))",0.7711704,"eventually[14,∞](IL12(t) < c(high))",0.7711704,0,0,2
IL12(t) = c(high),0.7085985,IL12(t) = c(high),0.7085985,IL12(t) = c(high),0.7085985,0,0,2
N/A,N/A,N/A,N/A,N/A,N/A,0,0,2
N/A,N/A,N/A,N/A,N/A,N/A,0,0,2
