Semantic attempt 0,Semantic attempt 0 sim,Semantic attempt 1,Semantic attempt 1 sim,Semantic attempt 2,Semantic attempt 2 sim,Number of improving translations (relative to initial result),Number of worsening translations (relative to initial result),Number of consistent translations (relative to initial result)
"globally[0,7](IL6(t) = c(high)) and eventually[7,inf](d_IL6(t) < 0)",0.7403732,"globally[0,7](IL6(t)=c(high)) and globally[7,inf](d_IL6(t)<0)",0.7253518,"globally[0,7](IL6(t) = c(high)) and globally[7,inf](d_IL6(t) < 0)",0.7253518,0,2,0
"globally[0,7](IL6(t) = c(high)) and eventually[7,inf](d_IL6(t) < 0)",0.7403732,"globally[0,7](IL6(t) = c(high)) and globally[7,inf](d_IL6(t) < 0)",0.7253518,"globally[0,7](IL6(t) = c(high)) and globally[7,inf](d_IL6(t) < 0)",0.7253518,0,2,0
"eventually[0,7](IL6(t)=c(high)) and globally[7,inf](d_IL6(t)<0)",0.7394666,"globally[0,7](IL6(t) = c(high)) and globally[7,inf](d_IL6(t) < 0)",0.7253518,"globally[0,7](IL6(t) = c(high)) and globally[7,inf](d_IL6(t) < 0)",0.7253518,0,2,0
"globally[0,7](IL6(t)=c(high)) and globally[7,inf](d_IL6(t)<0)",0.7253518,"globally[0,7](IL6(t) = c(high)) and globally[7,inf](d_IL6(t) < 0)",0.7253518,"eventually[0,7](IL6(t) = c(high)) and globally[7,inf](d_IL6(t) < 0)",0.7394666,1,0,1
"eventually[0,7](IL6(t) = c(high)) and globally[7,inf](d_IL6(t) < 0)",0.7394666,"eventually[0,7](IL6(t) = c(high)) and globally[7,inf](d_IL6(t) < 0)",0.7394666,"globally[0,7](IL6(t)=c(high)) and globally[7,inf](d_IL6(t)<0)",0.7253518,0,1,1
"IL6(t) = c(high) and globally[7,inf](d_IL6(t) < 0)",0.73644525,"globally[0,7](IL6(t) = c(high)) and globally[8,inf](d_IL6(t) < 0)",0.72878975,"eventually[0,7](IL6(t) = c(high)) and globally[7,inf](d_IL6(t) < 0)",0.7394666,1,1,0
"globally[0,7](IL6(t) > c(high)) and globally[7,inf](d_IL6(t) < 0)",0.72783923,"globally[0,7](IL6(t) = c(high)) and globally[7,inf](d_IL6(t) < 0)",0.7253518,"globally[0,7](IL6(t) = c(high)) and globally[7,inf](d_IL6(t) < 0)",0.7253518,0,2,0
"globally[0,7](IL6(t)=c(high)) and globally[7,inf](d_IL6(t)<0)",0.7253518,"globally[0,7](IL6(t) = c(high)) and globally[7,inf](d_IL6(t) < 0)",0.7253518,N/A,N/A,0,1,1
"eventually[0,7](IL6(t) = c(high)) and globally[7,inf](d_IL6(t) < 0)",0.7394666,"globally[0,7](IL6(t)=c(high)) and globally[8,inf](d_IL6(t)<0)",0.72878975,N/A,N/A,0,2,0
"globally[0,7](IL6(t) = c(high)) and globally[7,inf](d_IL6(t) < 0)",0.7253518,"eventually[0,7](IL6(t) = c(high)) and globally[7,inf](d_IL6(t) < 0)",0.7394666,"globally[0,7](IL6(t) = c(high)) and globally[7,inf](d_IL6(t) < 0)",0.7253518,1,0,1
"eventually[0,7]globally(IL6(t) > c(high)) and globally[7,inf](d_IL6(t) < 0)",0.7370486,"globally[0,7](IL6(t) = c(high)) and globally[7,inf](d_IL6(t) < 0)",0.7253518,"eventually[0,7](IL6(t)=c(high)) and globally[7,inf](d_IL6(t)<0)",0.7394666,1,1,0
"globally[0,7](IL6(t)=c(high)) and globally[7,inf](d_IL6(t)<0)",0.7253518,"globally[0,7](IL6(t)=c(high)) and globally[7,inf](d_IL6(t)<0)",0.7253518,"globally[0,7](IL6(t)=c(high)) and globally[7,inf](d_IL6(t)<0)",0.7253518,0,0,2
"globally[0,7](IL6(t) = c(high)) and globally[7,inf](d_IL6(t) < 0)",0.7253518,"globally[0,7](IL6(t) = c(high)) and globally[7,inf](d_IL6(t) < 0)",0.7253518,"globally[0,7](IL6(t) = c(high)) and globally[7,inf](d_IL6(t) < 0)",0.7253518,0,0,2
"globally[0,7](IL6(t)=c(high)) and globally[7,inf](d_IL6(t) < 0)",0.7253518,"globally[0,7](IL6(t) = c(high)) and globally[7,inf](d_IL6(t) < 0)",0.7253518,"eventually[0,7](IL6(t) = c(high)) and globally[7,inf](d_IL6(t) < 0)",0.7394666,1,0,1
"globally[0,7](IL6(t) = c(high)) and globally[7,inf](d_IL6(t) < 0)",0.7253518,"globally[0,7](IL6(t) = c(high)) and globally[7,inf](d_IL6(t) < 0)",0.7253518,"globally[0,7](IL6(t)=c(high)) and globally[7,inf](d_IL6(t)<0)",0.7253518,0,0,2
"eventually[0,7](IL6(t) = c(high)) and globally[7,inf](d_IL6(t) < 0)",0.7394666,"globally[0,7](IL6(t) = c(high)) and eventually[7,inf]globally(d_IL6(t) < 0)",0.7327473,"globally[0,7](IL6(t)=c(high)) and globally[7,inf](d_IL6(t)<0)",0.7253518,0,2,0
"eventually[0,7](IL6(t) = c(high)) and globally[7,inf](d_IL6(t) < 0)",0.7394666,"eventually[0,7](IL6(t)=c(high)) and globally[7,inf](d_IL6(t)<0)",0.7394666,"eventually[0,7](IL6(t) = c(high)) and globally[7,inf](d_IL6(t) < 0)",0.7394666,0,0,2
"eventually[0,7](IL6(t)=c(high)) and globally[7,inf](d_IL6(t) < 0)",0.7394666,"globally[0,7](IL6(t) = c(high)) and globally[7,inf](d_IL6(t) < 0)",0.7253518,N/A,N/A,0,2,0
