Semantic attempt 0,Semantic attempt 0 sim,Semantic attempt 1,Semantic attempt 1 sim,Semantic attempt 2,Semantic attempt 2 sim,Number of improvements (relative to start)
N/A,N/A,N/A,N/A,N/A,N/A,0
"eventually[1,7]globally(d_TNFα(t) > 0) and eventually[8,14]globally(d_TNFα(t) > 0) and eventually[15,∞]globally(d_TNFα(t) < 0)",0.7761878,"eventually[1,7]globally(d_TNFα(t) > 0) and eventually[8,14]globally(d_TNFα(t) > 0) and eventually[15,∞]globally(d_TNFα(t) < 0)",0.7761878,"eventually[1,7](d_TNFα(t) > 0 and TNFα(t) > c(mid)) and eventually[8,14](d_TNFα(t) > 0 and TNFα(t) > c(mid)) and eventually[15,∞](d_TNFα(t) < 0 and TNFα(t) < c(low))",0.8550274,1
"eventually[1,7](TNFα(t) > c(mid)) implies globally[8,14](TNFα(t) > c(mid)) and eventually[14,∞](TNFα(t) < c(mid))",0.8702786,"eventually[1,7](TNFα(t) > c(mid)) implies globally[8,14](TNFα(t) > c(mid)) and eventually[14,∞](TNFα(t) < c(mid))",0.8702786,"eventually[1,7](TNFα(t) > c(mid)) implies globally[8,14](TNFα(t) > c(mid)) and eventually[14,∞](TNFα(t) < c(mid))",0.8702786,0
"eventually[1,14](TNFα(t) > c(high)) and eventually[15,∞](TNFα(t) < c(low))",0.86350745,"globally[1,7](TNFα(t) > c(mid)) and globally[8,14](TNFα(t) > c(mid)) and eventually[14,∞](TNFα(t) < c(mid))",0.893471,"globally[1,7](TNFα(t) > c(mid)) and globally[8,14](TNFα(t) > c(mid)) and eventually[14,∞](TNFα(t) < c(mid))",0.893471,2
"eventually[1,7]globally(TNFα(t) > c(high) implies d_TNFα(t) = 0) and eventually[8,14]globally(TNFα(t) > c(high) implies d_TNFα(t) = 0) and eventually[15,∞]globally(TNFα(t) < c(low) implies d_TNFα(t) = 0)",0.7831237,"eventually[1,7](TNFα(t) > c(mid)) and eventually[8,14](TNFα(t) > c(mid)) and eventually[15,∞](TNFα(t) < c(mid))",0.88308054,"eventually[1,7](TNFα(t) > c(mid)) and eventually[8,14](TNFα(t) > c(mid)) and eventually[15,∞](TNFα(t) < c(mid))",0.88308054,2
"globally[1,7](TNFα(t) > c(mid)) and globally[8,14](TNFα(t) > c(mid)) and globally[15,∞](TNFα(t) < c(high))",0.8931941,"globally[1,7](TNFα(t) > c(mid)) and globally[8,14](TNFα(t) > c(mid)) and globally[15,∞](TNFα(t) < c(high))",0.8931941,"globally[1,7](TNFα(t) > c(mid)) and globally[8,14](TNFα(t) > c(mid)) and globally[15,∞](TNFα(t) < c(high))",0.8931941,0
N/A,N/A,N/A,N/A,N/A,N/A,0
"globally[1,7](TNFα(t) > c(high)) and globally[8,14](TNFα(t) > c(high)) and eventually[15,∞](TNFα(t) < c(low))",0.88062406,"eventually[1,7](TNFα(t) > c(mid)) and eventually[8,14](TNFα(t) > c(mid)) and globally[15,∞](TNFα(t) < c(low))",0.886096,"eventually[1,7](TNFα(t) > c(mid)) and eventually[8,14](TNFα(t) > c(mid)) and globally[15,∞](TNFα(t) < c(low))",0.886096,2
N/A,N/A,N/A,N/A,N/A,N/A,0
N/A,N/A,N/A,N/A,N/A,N/A,0
"eventually[1,7]globally(TNFα(t) = c(high)) and eventually[8,14]globally(TNFα(t) = c(high)) and eventually[15,∞]globally(TNFα(t) = c(low))",0.85293764,"globally[1,7](TNFα(t) > c(mid)) and globally[8,14](TNFα(t) > c(mid)) and eventually[14,∞](TNFα(t) < c(low))",0.8943811,"globally[1,7](TNFα(t) > c(mid)) and globally[8,14](TNFα(t) > c(mid)) and eventually[14,∞](TNFα(t) < c(low))",0.8943811,2
N/A,N/A,N/A,N/A,N/A,N/A,0
N/A,N/A,N/A,N/A,N/A,N/A,0
N/A,N/A,N/A,N/A,N/A,N/A,0
"eventually[1,7]globally(TNFα(t) > c(high)) and eventually[8,14]globally(TNFα(t) > c(high)) and eventually[15,∞]globally(TNFα(t) < c(low))",0.87108487,"eventually[1,7]globally(TNFα(t) > c(mid)) and eventually[8,14]globally(TNFα(t) > c(mid)) and eventually[15,∞]globally(TNFα(t) < c(mid))",0.88834536,"eventually[1,7]globally(TNFα(t) > c(mid)) and eventually[8,14]globally(TNFα(t) > c(mid)) and eventually[15,∞]globally(TNFα(t) < c(mid))",0.88834536,2
"globally[1,7](TNFα(t) > c(mid)) and globally[8,14](TNFα(t) > c(mid)) and eventually[14,∞](TNFα(t) < c(low))",0.8943811,"globally[1,7](TNFα(t) > c(mid)) and globally[8,14](TNFα(t) > c(mid)) and eventually[14,∞](TNFα(t) < c(low))",0.8943811,"globally[1,7](TNFα(t) > c(mid)) and globally[8,14](TNFα(t) > c(mid)) and eventually[14,∞](TNFα(t) < c(low))",0.8943811,0
"globally[1,7](TNFα(t) > c(mid)) and globally[8,14](TNFα(t) > c(mid)) and eventually[14,∞](TNFα(t) < c(mid))",0.893471,"globally[1,7](TNFα(t) > c(mid)) and globally[8,14](TNFα(t) > c(mid)) and eventually[14,∞](TNFα(t) < c(mid))",0.893471,"globally[1,7](TNFα(t) > c(mid)) and globally[8,14](TNFα(t) > c(mid)) and eventually[14,∞](TNFα(t) < c(mid))",0.893471,0
"eventually[1,7](TNFα(t) > c(high)) and eventually[8,14](TNFα(t) > c(high)) and d_TNFα(t) < d_c(low)",0.817699,"eventually[1,7]globally(TNFα(t) > c(high)) and eventually[8,14]globally(TNFα(t) > c(high)) and eventually[15,∞]globally(TNFα(t) < c(low))",0.87108487,"globally[1,7](TNFα(t) > c(mid)) and globally[8,14](TNFα(t) > c(mid)) and eventually[15,∞](TNFα(t) < c(high))",0.89782155,2
