Semantic attempt 0,Semantic attempt 0 sim,Semantic attempt 1,Semantic attempt 1 sim,Number of improving translations (relative to initial result),Number of worsening translations (relative to initial result),Number of consistent translations (relative to initial result)
"eventually[0,1](IFNα(t) > c(high) and IFNβ(t) > c(high))",0.54612803,N/A,N/A,0,1,0
N/A,N/A,N/A,N/A,0,0,0
N/A,N/A,N/A,N/A,0,0,0
"eventually[0,inf]globally(IL1β(t) = c(high) and IL1Ra(t) = c(high))",0.34439617,N/A,N/A,0,1,0
"globally[0,inf](d_IFNα(t) > d_c(high) and d_IFNβ(t) > d_c(high)) and IL1Ra(t) = c(high)",0.504117,N/A,N/A,0,1,0
"globally[0,1](IFNα(t) > c(low) and IFNβ(t) > c(low))",0.4845401,N/A,N/A,0,1,0
N/A,N/A,N/A,N/A,0,0,0
"eventually[0,inf]globally(d_IFNα(t) > d_c(high) and d_IFNβ(t) > d_c(high)) and IL1β(t) > c(high) and IL1Ra(t) > c(high)",0.5114147,"eventually[0,24]globally(d_IFNα(t) > d_c(low) and d_IFNβ(t) > d_c(low))",0.52509904,1,0,0
"globally[0,inf](d_IFNα(t) > d_c(high) and d_IFNβ(t) > d_c(high)) and eventually[0,1](IFNα(t) = c(high) and IFNβ(t) = c(high))",0.5181546,"eventually[0,1](d_IFNα(t) > d_c(high) and d_IFNβ(t) > d_c(high)) and SARSCoV2(t) > c(high)",0.5368422,1,0,0
"eventually[0,2]globally(d_IFNα(t) > d_c(high) and d_IFNβ(t) > d_c(high))",0.52777004,N/A,N/A,0,1,0
N/A,N/A,N/A,N/A,0,0,0
N/A,N/A,N/A,N/A,0,0,0
N/A,N/A,N/A,N/A,0,0,0
"eventually[0,inf](IFNα(t) > c(high) and IFNβ(t) > c(high)) and globally[0,inf](IFNα(t) = c(mid) and IFNβ(t) = c(mid))",0.48023903,N/A,N/A,0,1,0
N/A,N/A,N/A,N/A,0,0,0
"eventually[0,1](IFNα(t) = c(high))",0.5055202,N/A,N/A,0,1,0
N/A,N/A,N/A,N/A,0,0,0
N/A,N/A,N/A,N/A,0,0,0
