Semantic attempt 0,Semantic attempt 0 sim,Semantic attempt 1,Semantic attempt 1 sim,Number of improving translations (relative to initial result),Number of worsening translations (relative to initial result),Number of consistent translations (relative to initial result)
"d_IL12(t) = d_c(low) and eventually[8,∞]globally(d_IL12(t) > d_c(high))",0.29982978,"d_IL12(t) = d_c(low) and eventually[8,∞]globally(d_IL12(t) > d_c(high))",0.29982978,0,0,1
IFNα(t) > c(high) implies IL1Ra(t) < c(high),0.29982978,IFNα(t) > c(high) implies IL1Ra(t) < c(high),0.29982978,0,0,1
"globally[8,∞](IFNβ(t) > c(mid)) implies eventually[1,6](d_IFNβ(t)=0)",0.29982978,"globally[8,∞](IFNβ(t) > c(mid)) implies eventually[1,6](d_IFNβ(t)=0)",0.29982978,0,0,1
N/A,N/A,N/A,N/A,0,0,0
"globally[7, ∞](IFNα(t) > c(low)) and eventually[7, ∞](d_IFNβ(t) < d_c(high))",0.29982978,"globally[7, ∞](IFNα(t) > c(low)) and eventually[7, ∞](d_IFNβ(t) < d_c(high))",0.29982978,0,0,1
IFNβ(t) = c(low) implies IFNβ(t) < c(high),0.29982978,IFNβ(t) = c(low) implies IFNβ(t) < c(high),0.29982978,0,0,1
N/A,N/A,N/A,N/A,0,0,0
N/A,N/A,N/A,N/A,0,0,0
"globally[1,18](d_IFNβ(t) > d_c(low)) implies eventually[7,∞](IL8(t)=c(mid))",0.29982978,"globally[1,18](d_IFNβ(t) > d_c(low)) implies eventually[7,∞](IL8(t)=c(mid))",0.29982978,0,0,1
IL1β(t) < c(low) implies IFNα(t)=c(high),0.29982978,IL1β(t) < c(low) implies IFNα(t)=c(high),0.29982978,0,0,1
N/A,N/A,N/A,N/A,0,0,0
N/A,N/A,N/A,N/A,0,0,0
"eventually[4,8]globally(d_IFNβ(t) < 0)",0.29982978,"eventually[4,8]globally(d_IFNβ(t) < 0)",0.29982978,0,0,1
"eventually[8,∞]globally(SARSCoV2(t) > c(mid) implies d_IFNα(t) > d_c(low))",0.29982978,"eventually[8,∞]globally(SARSCoV2(t) > c(mid) implies d_IFNα(t) > d_c(low))",0.29982978,0,0,1
"eventually[8,∞](IFNβ(t) = c(high)) and globally[1,7](IL6(t) = c(high) and d_IFNβ(t) > c(mid))",0.29982978,"eventually[8,∞](IFNβ(t) = c(high)) and globally[1,7](IL6(t) = c(high) and d_IFNβ(t) > c(mid))",0.29982978,0,0,1
d_IFNβ(t) > d_c(low),0.29982978,d_IFNβ(t) > d_c(low),0.29982978,0,0,1
N/A,N/A,N/A,N/A,0,0,0
N/A,N/A,N/A,N/A,0,0,0
