Semantic attempt 0,Semantic attempt 0 sim,Semantic attempt 1,Semantic attempt 1 sim,Semantic attempt 2,Semantic attempt 2 sim,Number of improving translations (relative to initial result),Number of worsening translations (relative to initial result),Number of consistent translations (relative to initial result)
"eventually[7,18]globally(IL1Ra(t)=c(mid)) implies globally[3,inf](IL6(t)<c(high))",1.0000001,"eventually[7,18]globally(IL1Ra(t)=c(mid)) implies globally[3,inf](IL6(t) < c(high))",1.0000001,"eventually[7,18]globally(IL1Ra(t)=c(mid)) implies globally[3,inf](IL6(t) < c(high))",1.0000001,0,0,2
"eventually[7,18]globally(IL1Ra(t)=c(mid)) implies globally[3,inf](IL6(t) < c(high))",1.0000001,"eventually[7,18]globally(IL1Ra(t)=c(mid)) implies globally[3,inf](IL6(t)<c(high))",1.0000001,"eventually[7,18]globally(IL1Ra(t) = c(mid)) implies globally[3,inf](IL6(t) < c(high))",1.0000001,0,0,2
"eventually[7,18]globally(IL1Ra(t)=c(mid)) implies globally[3,inf](IL6(t) < c(high))",1.0000001,"eventually[7,18]globally(IL1Ra(t) = c(mid)) implies globally[3,inf](IL6(t) < c(high))",1.0000001,"eventually[7,18]globally(IL1Ra(t)=c(mid)) implies globally[3,inf](IL6(t) < c(high))",1.0000001,0,0,2
"globally[7,18](IL1Ra(t)=c(mid)) implies globally[3,inf](IL6(t)<c(high))",0.9964145,"eventually[7,18]globally(IL1Ra(t) = c(mid)) implies globally[3,inf](IL6(t) < c(high))",1.0000001,"eventually[7,18]globally(IL1Ra(t) = c(mid)) implies globally[3,inf](IL6(t) < c(high))",1.0000001,2,0,0
"eventually[7,18]globally(IL1Ra(t) = c(mid)) implies globally[3,inf](IL6(t) < c(high))",1.0000001,"eventually[7,18]globally(IL1Ra(t) = c(mid)) implies globally[3,inf](IL6(t) < c(high))",1.0000001,"eventually[7,18]globally(IL1Ra(t)=c(mid)) implies globally[3,inf](IL6(t) < c(high))",1.0000001,0,0,2
"eventually[7,18]globally(IL1Ra(t) = c(mid)) implies globally[3,inf](IL6(t) < c(high))",1.0000001,"eventually[7,18]globally(IL1Ra(t)=c(mid)) implies globally[3,inf](IL6(t)<c(high))",1.0000001,"eventually[7,18]globally(IL1Ra(t)=c(mid)) implies globally[3,inf](IL6(t) < c(high))",1.0000001,0,0,2
"eventually[7,18]globally(IL1Ra(t)=c(mid)) implies globally[3,inf](IL6(t) < c(high))",1.0000001,"eventually[7,18]globally(IL1Ra(t) = c(mid)) implies globally[3,inf](IL6(t) < c(high))",1.0000001,"eventually[7,18]globally(IL1Ra(t) = c(mid)) implies globally[3,inf](IL6(t) < c(high))",1.0000001,0,0,2
"eventually[7,18]globally(IL1Ra(t) = c(mid)) implies globally[3,inf](IL6(t) < c(high))",1.0000001,"eventually[7,18]globally(IL1Ra(t) = c(mid)) implies globally[3,inf](IL6(t) < c(high))",1.0000001,"eventually[7,18]globally(IL1Ra(t)=c(mid)) implies globally[3,inf](IL6(t) < c(high))",1.0000001,0,0,2
"eventually[7,18]globally(IL1Ra(t)=c(mid)) implies globally[3,inf](IL6(t) < c(high))",1.0000001,"eventually[7,18]globally(IL1Ra(t)=c(mid)) implies globally[3,inf](IL6(t) < c(high))",1.0000001,"eventually[7,18]globally(IL1Ra(t)=c(mid)) implies globally[3,inf](IL6(t) < c(high))",1.0000001,0,0,2
"eventually[7,18]globally(IL1Ra(t) = c(mid)) implies globally[3,inf](IL6(t) < c(high))",1.0000001,"eventually[7,18]globally(IL1Ra(t)=c(mid)) implies globally[3,inf](IL6(t)<c(high))",1.0000001,"eventually[7,18]globally(IL1Ra(t) = c(mid)) implies globally[3,inf](IL6(t) < c(high))",1.0000001,0,0,2
"eventually[7,18]globally(IL1Ra(t)=c(mid)) implies globally[3,inf](IL6(t)<c(high))",1.0000001,"eventually[7,18]globally(IL1Ra(t)=c(mid)) implies globally[3,inf](IL6(t)<c(high))",1.0000001,"eventually[7,18]globally(IL1Ra(t) = c(mid)) implies globally[3,inf](IL6(t) < c(high))",1.0000001,0,0,2
"eventually[7,18]globally(IL1Ra(t)=c(mid)) implies globally[3,inf](IL6(t)<c(high))",1.0000001,"eventually[7,18]globally(IL1Ra(t) = c(mid)) implies globally[3,inf](IL6(t) < c(high))",1.0000001,"eventually[7,18]globally(IL1Ra(t) = c(mid)) implies globally[3,inf](IL6(t) < c(high))",1.0000001,0,0,2
