Semantic attempt 0,Semantic attempt 0 sim,Semantic attempt 1,Semantic attempt 1 sim,Semantic attempt 2,Semantic attempt 2 sim,Number of improving translations (relative to initial result),Number of worsening translations (relative to initial result),Number of consistent translations (relative to initial result)
d_IL1Ra(t) > 0 and d_IL1Ra(t) < d_c(low) and TNFα(t) = c(low) implies IL6(t) > c(low),1.0,d_IL1Ra(t) > 0 and d_IL1Ra(t) < d_c(low) and TNFα(t) = c(low) implies IL6(t) > c(low),1.0,N/A,N/A,0,1,1
d_IL1Ra(t) > 0 and d_IL1Ra(t) < d_c(low) and TNFα(t) = c(low) implies IL6(t) > c(low),1.0,d_IL1Ra(t) > 0 and d_IL1Ra(t) < d_c(low) and TNFα(t)=c(low) implies IL6(t) > c(low),1.0,d_IL1Ra(t) > 0 and d_IL1Ra(t) < d_c(low) and TNFα(t) = c(low) implies IL6(t) > c(low),1.0,0,0,2
d_IL1Ra(t) > 0 and d_IL1Ra(t) < d_c(low) and TNFα(t) = c(low) implies IL6(t) > c(low),1.0,N/A,N/A,N/A,N/A,0,2,0
d_IL1Ra(t) > 0 and d_IL1Ra(t) < d_c(low) and TNFα(t) = c(low) implies IL6(t) > c(low),1.0,N/A,N/A,N/A,N/A,0,2,0
d_IL1Ra(t) > 0 and d_IL1Ra(t) < d_c(low) and TNFα(t) = c(low) implies IL6(t) > c(low),1.0,d_IL1Ra(t) > 0 and d_IL1Ra(t) < d_c(low) and TNFα(t)=c(low) implies IL6(t) > c(low),1.0,d_IL1Ra(t) > 0 and d_IL1Ra(t) < d_c(low) and TNFα(t)=c(low) implies IL6(t) > c(low),1.0,0,0,2
d_IL1Ra(t) > 0 and d_IL1Ra(t) < d_c(low) and TNFα(t) = c(low) implies IL6(t) > c(low),1.0,d_IL1Ra(t) > 0 and d_IL1Ra(t) < d_c(low) and TNFα(t) = c(low) implies IL6(t) > c(low),1.0,N/A,N/A,0,1,1
d_IL1Ra(t) > 0 and d_IL1Ra(t) < d_c(low) and TNFα(t) = c(low) implies IL6(t) > c(low),1.0,N/A,N/A,N/A,N/A,0,2,0
d_IL1Ra(t) > 0 and d_IL1Ra(t) < d_c(low) and TNFα(t) = c(low) implies IL6(t) > c(low),1.0,d_IL1Ra(t) > 0 and d_IL1Ra(t) < d_c(low) and TNFα(t) = c(low) implies IL6(t) > c(low),1.0,N/A,N/A,0,1,1
d_IL1Ra(t) > 0 and d_IL1Ra(t) < d_c(low) and TNFα(t) = c(low) implies IL6(t) > c(low),1.0,N/A,N/A,d_IL1Ra(t) > 0 and d_IL1Ra(t) < d_c(low) and TNFα(t)=c(low) implies IL6(t) > c(low),1.0,0,1,1
N/A,N/A,N/A,N/A,N/A,N/A,0,0,0
d_IL1Ra(t) > 0 and d_IL1Ra(t) < d_c(low) and TNFα(t) = c(low) implies IL6(t) > c(low),1.0,N/A,N/A,N/A,N/A,0,2,0
N/A,N/A,N/A,N/A,N/A,N/A,0,0,0
d_IL1Ra(t) > 0 and d_IL1Ra(t) < d_c(low) and TNFα(t) = c(low) implies IL6(t) > c(low),1.0,d_IL1Ra(t) > 0 and d_IL1Ra(t) < d_c(low) and TNFα(t) = c(low) implies IL6(t) > c(low),1.0,N/A,N/A,0,1,1
d_IL1Ra(t) > 0 and d_IL1Ra(t) < d_c(low) and TNFα(t) = c(low) implies IL6(t) > c(low),1.0,d_IL1Ra(t) > 0 and d_IL1Ra(t) < d_c(low) and TNFα(t) = c(low) implies IL6(t) > c(low),1.0,N/A,N/A,0,1,1
N/A,N/A,N/A,N/A,N/A,N/A,0,0,0
d_IL1Ra(t) > 0 and d_IL1Ra(t) < d_c(low) and TNFα(t) = c(low) implies IL6(t) > c(low),1.0,d_IL1Ra(t) > 0 and d_IL1Ra(t) < d_c(low) and TNFα(t) = c(low) implies IL6(t) > c(low),1.0,N/A,N/A,0,1,1
N/A,N/A,N/A,N/A,N/A,N/A,0,0,0
d_IL1Ra(t) > 0 and d_IL1Ra(t) < d_c(low) and TNFα(t) = c(low) implies IL6(t) > c(low),1.0,N/A,N/A,d_IL1Ra(t) > 0 and d_IL1Ra(t) < d_c(low) and TNFα(t) = c(low) implies IL6(t) > c(low),1.0,0,1,1
