Semantic attempt 0,Semantic attempt 0 sim,Semantic attempt 1,Semantic attempt 1 sim,Semantic attempt 2,Semantic attempt 2 sim,Number of improving translations (relative to initial result),Number of worsening translations (relative to initial result),Number of consistent translations (relative to initial result)
IL8(t) > c(low) implies d_IL12(t) < d_c(high),0.891838,IL8(t) < c(mid) implies d_IL6(t) > d_c(low),0.8733158,N/A,N/A,0,2,0
"globally[0,inf](IL12(t) = c(low))",0.6705641,N/A,N/A,N/A,N/A,0,2,0
N/A,N/A,N/A,N/A,N/A,N/A,0,0,0
d_IL12(t) > d_c(low) implies d_IL8(t) = c(mid),0.9657477,N/A,N/A,d_IL12(t) > d_c(low) implies d_IL8(t)=c(mid),0.9657477,0,1,1
d_IL12(t) > d_c(low) implies IL8(t) = c(mid),0.9657477,N/A,N/A,N/A,N/A,0,2,0
d_IL12(t) > d_c(low) implies IL8(t) = c(mid),0.9657477,N/A,N/A,"eventually[1, inf]globally(IL8(t) = c(mid))",0.76517487,0,2,0
N/A,N/A,N/A,N/A,N/A,N/A,0,0,0
d_IL12(t) > d_c(low) implies IL8(t) = c(mid),0.9657477,N/A,N/A,N/A,N/A,0,2,0
N/A,N/A,N/A,N/A,N/A,N/A,0,0,0
N/A,N/A,N/A,N/A,N/A,N/A,0,0,0
N/A,N/A,N/A,N/A,N/A,N/A,0,0,0
N/A,N/A,N/A,N/A,N/A,N/A,0,0,0
d_IL12(t) > d_c(low) implies SARSCoV2(t) < c(mid),0.7271162,N/A,N/A,N/A,N/A,0,2,0
d_IL12(t) > 0 implies IL8(t)=c(mid),1.0,N/A,N/A,N/A,N/A,0,2,0
N/A,N/A,N/A,N/A,N/A,N/A,0,0,0
"globally[0,inf](d_IL12(t) > d_c(high) implies d_IL8(t) = c(mid))",0.9152175,N/A,N/A,N/A,N/A,0,2,0
N/A,N/A,N/A,N/A,N/A,N/A,0,0,0
d_IL12(t) > d_c(low) implies IL8(t)=c(mid),0.9657477,N/A,N/A,N/A,N/A,0,2,0
