Semantic attempt 0,Semantic attempt 0 sim,Semantic attempt 1,Semantic attempt 1 sim,Semantic attempt 2,Semantic attempt 2 sim,Number of improving translations (relative to initial result),Number of worsening translations (relative to initial result),Number of consistent translations (relative to initial result)
"globally[1,7](d_TNFα(t) > 0) and globally[8,14](d_TNFα(t) > 0) and eventually[14,∞](d_TNFα(t) < 0)",0.76990473,"globally[1,7](d_TNFα(t) > 0) and globally[8,14](d_TNFα(t) > 0) and eventually[14,∞](d_TNFα(t) < 0)",0.76990473,"globally[1,7](d_TNFα(t) > 0) and globally[8,14](d_TNFα(t) > 0) and eventually[14,∞](d_TNFα(t) < 0)",0.76990473,0,0,2
"globally[1,7](TNFα(t) > c(low)) and globally[8,14](TNFα(t) > c(low)) and eventually[14,∞](TNFα(t) < c(high))",0.87449634,"globally[1,7](TNFα(t) > c(low)) and globally[8,14](TNFα(t) > c(low)) and eventually[14,∞](TNFα(t) < c(high))",0.87449634,"globally[1,7](TNFα(t) > c(low)) and globally[8,14](TNFα(t) > c(low)) and eventually[14,∞](TNFα(t) < c(high))",0.87449634,0,0,2
N/A,N/A,N/A,N/A,N/A,N/A,0,0,2
"globally[1,7](TNFα(t) > c(mid)) and globally[8,14](TNFα(t) > c(mid)) and eventually[14,∞](TNFα(t) < c(low))",0.89438105,"globally[1,7](TNFα(t) > c(mid)) and globally[8,14](TNFα(t) > c(mid)) and eventually[14,∞](TNFα(t) < c(low))",0.89438105,"globally[1,7](TNFα(t) > c(mid)) and globally[8,14](TNFα(t) > c(mid)) and eventually[14,∞](TNFα(t) < c(low))",0.89438105,0,0,2
"eventually[1,7]globally(TNFα(t)=c(high)) and eventually[8,14]globally(TNFα(t)=c(high)) and eventually[15,∞]globally(TNFα(t)=c(low))",0.85293764,"eventually[1,7]globally(TNFα(t) > c(high)) and eventually[8,14]globally(TNFα(t) > c(high)) and eventually[15,∞](TNFα(t) < c(low))",0.8800037,"globally[1,7](TNFα(t) > c(mid)) and globally[8,14](TNFα(t) > c(mid)) and eventually[15,∞](TNFα(t) < c(low))",0.89570725,2,0,0
"globally[1,7](TNFα(t) = c(high)) and globally[8,14](TNFα(t) = c(high)) and eventually[15,∞](TNFα(t) = c(low))",0.85640156,"globally[1,7](TNFα(t) = c(high)) and globally[8,14](TNFα(t) = c(high)) and eventually[15,∞](TNFα(t) = c(low))",0.85640156,"eventually[1,7]globally(TNFα(t) > c(mid)) and eventually[8,14]globally(TNFα(t) > c(mid)) and globally[15,∞](TNFα(t) < c(low))",0.8882897,1,0,1
"globally[1,7](TNFα(t) > c(low)) and globally[8,14](TNFα(t) > c(low)) and eventually[15,∞](TNFα(t) < c(low))",0.8713549,"globally[1,7](TNFα(t) > c(low)) and globally[8,14](TNFα(t) > c(low)) and eventually[15,∞](TNFα(t) < c(low))",0.8713549,"globally[1,7](TNFα(t) > c(low)) and globally[8,14](TNFα(t) > c(low)) and eventually[15,∞](TNFα(t) < c(low))",0.8713549,0,0,2
"eventually[1,7]globally(TNFα(t) = c(high)) and eventually[8,14]globally(TNFα(t) = c(high)) and eventually[14,∞]globally(TNFα(t) = c(low))",0.84947634,"eventually[1,7]globally(TNFα(t) = c(high)) and eventually[8,14]globally(TNFα(t) = c(high)) and eventually[14,∞]globally(TNFα(t) = c(low))",0.84947634,"eventually[1,7]globally(TNFα(t) > c(high)) and eventually[8,14]globally(TNFα(t) > c(high)) and eventually[15,∞]globally(TNFα(t) > c(low))",0.8684518,1,0,1
"eventually[1,7]globally(TNFα(t) > c(high)) and eventually[8,14]globally(TNFα(t) > c(high)) and eventually[15,∞]globally(TNFα(t) < c(low))",0.8710848,"eventually[1,7]globally(TNFα(t) > c(high)) and eventually[8,14]globally(TNFα(t) > c(high)) and eventually[15,∞]globally(TNFα(t) < c(low))",0.8710848,"eventually[1,7]globally(TNFα(t) > c(high)) and eventually[8,14]globally(TNFα(t) > c(high)) and eventually[15,∞]globally(TNFα(t) < c(low))",0.8710848,0,0,2
N/A,N/A,N/A,N/A,N/A,N/A,0,0,2
