Semantic attempt 0,Semantic attempt 0 sim,Semantic attempt 1,Semantic attempt 1 sim,Semantic attempt 2,Semantic attempt 2 sim,Number of improvements (relative to start)
"eventually[1,17]globally(d_IFNα(t) < d_c(high) implies d_IL1RN(t)=0)",0.4751298,"eventually[1,17]globally(d_IFNα(t) < d_c(high) implies d_IL1RN(t)=0)",0.4751298,"globally[6,15](d_IFNα(t) > d_c(high)) and IL1β(t) > c(mid)",0.5349611,1
N/A,N/A,N/A,N/A,N/A,N/A,0
N/A,N/A,N/A,N/A,N/A,N/A,0
N/A,N/A,N/A,N/A,N/A,N/A,0
d_IFNβ(t) < 0 implies IL12(t) > c(high),0.36776316,d_IFNβ(t) < 0 implies IL12(t) > c(high),0.36776316,d_IFNβ(t) < 0 implies IL12(t) > c(high),0.36776316,0
N/A,N/A,N/A,N/A,N/A,N/A,0
N/A,N/A,N/A,N/A,N/A,N/A,0
N/A,N/A,N/A,N/A,N/A,N/A,0
N/A,N/A,N/A,N/A,N/A,N/A,0
"d_IFNα(t) < d_c(low) implies d_IFNβ(t) < d_c(low) and eventually[0,∞](d_IFNα(t)=d_c(high) and d_IFNβ(t)=d_c(high))",0.42384666,"d_IFNα(t) < d_c(low) implies d_IFNβ(t) < d_c(low) and eventually[0,∞](d_IFNα(t)=d_c(high) and d_IFNβ(t)=d_c(high))",0.42384666,"d_IFNα(t) < d_c(low) implies d_IFNβ(t) < d_c(low) and eventually[0,∞](d_IFNα(t)=d_c(high) and d_IFNβ(t)=d_c(high))",0.42384666,0
N/A,N/A,N/A,N/A,N/A,N/A,0
N/A,N/A,N/A,N/A,N/A,N/A,0
N/A,N/A,N/A,N/A,N/A,N/A,0
"globally[9,18](IL12(t)=c(low) and TNFα(t)<c(mid))",0.27551252,"IFNα(t) < c(mid) and IFNβ(t) < c(mid) and globally[18,∞](d_IFNα(t)=0)",0.4909586,"IFNα(t) < c(mid) and IFNβ(t) < c(mid) and globally[18,∞](d_IFNα(t)=0)",0.4909586,2
N/A,N/A,N/A,N/A,N/A,N/A,0
"d_IFNα(t) < d_c(low) and eventually[1,∞]globally(SARSCoV2(t)=c(high) implies IL1RN(t) > c(low))",0.46518978,"d_IFNα(t) < d_c(low) and eventually[1,∞]globally(SARSCoV2(t)=c(high) implies IL1RN(t) > c(low))",0.46518978,"d_IFNα(t) < d_c(low) and eventually[1,∞]globally(SARSCoV2(t)=c(high) implies IL1RN(t) > c(low))",0.46518978,0
"globally[0,8](IL1Ra(t) > c(low)) implies eventually[1,∞](IFNβ(t) > c(high))",0.4260267,"globally[0,8](IL1Ra(t) > c(low)) implies eventually[1,∞](IFNβ(t) > c(high))",0.4260267,"globally[0,8](IL1Ra(t) > c(low)) implies eventually[1,∞](IFNβ(t) > c(high))",0.4260267,0
N/A,N/A,N/A,N/A,N/A,N/A,0
