Semantic attempt 0,Semantic attempt 0 sim,Semantic attempt 1,Semantic attempt 1 sim,Semantic attempt 2,Semantic attempt 2 sim,Number of improving translations (relative to initial result),Number of worsening translations (relative to initial result),Number of consistent translations (relative to initial result)
N/A,N/A,N/A,N/A,N/A,N/A,0,0,0
N/A,N/A,N/A,N/A,N/A,N/A,0,0,0
N/A,N/A,N/A,N/A,N/A,N/A,0,0,0
"CCL2(t) > c(mid) and CCR2(t) > c(low) and IL6(t) > c(low) and eventually[0,inf]globally(CCL2(t) = c(mid) and CCR2(t) = c(low)) and globally[0,inf](IL6(t) = c(low))",0.38408324,"CCL2(t) > c(mid) and CCR2(t) > c(mid) implies IL1RN(t) < c(low) and eventually[0,inf](d_CCL2(t) > d_c(low) and d_CCR2(t) > d_c(low)) and eventually[0,inf](d_IL1RN(t) < d_c(low) and IL1β(t) > c(mid))",0.41636202,N/A,N/A,1,1,0
N/A,N/A,N/A,N/A,N/A,N/A,0,0,0
N/A,N/A,N/A,N/A,N/A,N/A,0,0,0
N/A,N/A,N/A,N/A,N/A,N/A,0,0,0
N/A,N/A,N/A,N/A,N/A,N/A,0,0,0
"CCL2(t) > c(high) and CCR2(t) > c(low) and IL12(t) = c(low) and RANTES(t) = c(mid) and d_CCL2(t) > 0 and d_CCR2(t) > 0 and d_IL12(t) < 0 and d_RANTES(t) < 0 and eventually[7,inf]globally(IL1Ra(t) < c(high)) and SARSCoV2(t)=c(low) implies d_IFNα(t) > 0",0.40039816,"eventually[0,inf]globally(d_CCL2(t)=d_c(high) and d_CCR2(t)=d_c(low)) and globally[0,inf](d_CCL2(t)=d_c(high) implies d_CCR2(t)=d_c(low)) and eventually[0,inf]globally(d_CCL2(t)=d_c(high) implies d_CCR2(t)=d_c(low)) and globally[0,inf](d_CCL2(t)=d_c(high) implies d_CCR2(t)=d_c(low))",0.21076414,"globally[0,inf](CCL2(t) > c(mid)) and globally[0,inf](CCR2(t) > c(mid)) implies eventually[0,inf](IL6(t) < c(low)) and eventually[0,inf](IL8(t) < c(low))",0.3339983,0,2,0
N/A,N/A,N/A,N/A,N/A,N/A,0,0,0
N/A,N/A,N/A,N/A,N/A,N/A,0,0,0
N/A,N/A,N/A,N/A,N/A,N/A,0,0,0
N/A,N/A,N/A,N/A,N/A,N/A,0,0,0
"CCL2(t) > c(low) and CCR2(t) > c(low) and IL1β(t) < c(low) and TNFα(t) < c(low) and d_CCL2(t) = d_c(high) and d_CCR2(t) = d_c(high) and d_IL1β(t) < d_c(high) and d_TNFα(t) < d_c(high) and eventually[6,18]globally(d_IFNβ(t)=d_c(high))",0.38764954,N/A,N/A,CCL2(t) = c(high) and CCR2(t) = c(low) and IL1β(t) = c(low) and TNFα(t) < c(low) and d_CCL2(t) = d_c(low) and d_CCR2(t) = d_c(low),0.48089343,1,1,0
N/A,N/A,N/A,N/A,N/A,N/A,0,0,0
N/A,N/A,N/A,N/A,N/A,N/A,0,0,0
CCL2(t) > c(mid) and CCR2(t) > c(mid) and CCL2(t) = c(low) and CCR2(t) = c(low),0.39284492,N/A,N/A,N/A,N/A,0,2,0
N/A,N/A,N/A,N/A,N/A,N/A,0,0,0
