Semantic attempt 0,Semantic attempt 0 sim,Semantic attempt 1,Semantic attempt 1 sim,Semantic attempt 2,Semantic attempt 2 sim,Number of improving translations (relative to initial result),Number of worsening translations (relative to initial result),Number of consistent translations (relative to initial result)
"IL6(t) > c(mid) and globally[0,∞](d_IFNβ(t) = d_c(low) and IL8(t)=c(low)) and d_IFNα(t) < d_c(high) implies SARSCoV2(t) < c(low)",0.29982978,"IL6(t) > c(mid) and globally[0,∞](d_IFNβ(t) = d_c(low) and IL8(t)=c(low)) and d_IFNα(t) < d_c(high) implies SARSCoV2(t) < c(low)",0.29982978,"IL6(t) > c(mid) and globally[0,∞](d_IFNβ(t) = d_c(low) and IL8(t)=c(low)) and d_IFNα(t) < d_c(high) implies SARSCoV2(t) < c(low)",0.29982978,0,0,2
"globally[1,18](d_IFNβ(t) > d_c(low)) implies eventually[7,∞](IL8(t)=c(mid))",0.29982978,"globally[1,18](d_IFNβ(t) > d_c(low)) implies eventually[7,∞](IL8(t)=c(mid))",0.29982978,"globally[1,18](d_IFNβ(t) > d_c(low)) implies eventually[7,∞](IL8(t)=c(mid))",0.29982978,0,0,2
IFNα(t) > c(mid) implies d_IFNβ(t) < d_c(high),0.29982978,IFNα(t) > c(mid) implies d_IFNβ(t) < d_c(high),0.29982978,IFNα(t) > c(mid) implies d_IFNβ(t) < d_c(high),0.29982978,0,0,2
"IL1Ra(t) > c(low) and eventually[1,7](d_IL1Ra(t) < d_c(high)) and globally[8,∞](IL1Ra(t) > c(mid) implies IL1Ra(t) = c(high))",0.29982978,"IL1Ra(t) > c(low) and eventually[1,7](d_IL1Ra(t) < d_c(high)) and globally[8,∞](IL1Ra(t) > c(mid) implies IL1Ra(t) = c(high))",0.29982978,"IL1Ra(t) > c(low) and eventually[1,7](d_IL1Ra(t) < d_c(high)) and globally[8,∞](IL1Ra(t) > c(mid) implies IL1Ra(t) = c(high))",0.29982978,0,0,2
IFNβ(t) > c(low) implies d_TNFα(t) < d_c(high),0.29982978,IFNβ(t) > c(low) implies d_TNFα(t) < d_c(high),0.29982978,IFNβ(t) > c(low) implies d_TNFα(t) < d_c(high),0.29982978,0,0,2
IL8(t)=c(low) and SARSCoV2(t) > c(mid),0.29982978,IL8(t)=c(low) and SARSCoV2(t) > c(mid),0.29982978,IL8(t)=c(low) and SARSCoV2(t) > c(mid),0.29982978,0,0,2
N/A,N/A,N/A,N/A,N/A,N/A,0,0,0
IFNα(t) = c(low) implies IFNα(t) < c(high),0.29982978,IFNα(t) = c(low) implies IFNα(t) < c(high),0.29982978,IFNα(t) = c(low) implies IFNα(t) < c(high),0.29982978,0,0,2
IL1β(t) < c(low) implies IFNα(t)=c(high),0.29982978,IL1β(t) < c(low) implies IFNα(t)=c(high),0.29982978,IL1β(t) < c(low) implies IFNα(t)=c(high),0.29982978,0,0,2
N/A,N/A,N/A,N/A,N/A,N/A,0,0,0
"globally[7,∞](IFNβ(t) < c(mid))",0.29982978,"globally[7,∞](IFNβ(t) < c(mid))",0.29982978,"globally[7,∞](IFNβ(t) < c(mid))",0.29982978,0,0,2
N/A,N/A,N/A,N/A,N/A,N/A,0,0,0
"eventually[8,∞]globally(d_IFNα(t) > c(low))",0.29982978,"eventually[8,∞]globally(d_IFNα(t) > c(low))",0.29982978,"eventually[8,∞]globally(d_IFNα(t) > c(low))",0.29982978,0,0,2
N/A,N/A,N/A,N/A,N/A,N/A,0,0,0
"IL1Ra(t) > c(low) and globally[0,∞](d_IL8(t) > 0)",0.29982978,"IL1Ra(t) > c(low) and globally[0,∞](d_IL8(t) > 0)",0.29982978,"IL1Ra(t) > c(low) and globally[0,∞](d_IL8(t) > 0)",0.29982978,0,0,2
"globally[7,∞](IL1β(t) < c(mid)) implies eventually[8,∞]globally(IL1β(t) > c(high))",0.29982978,"globally[7,∞](IL1β(t) < c(mid)) implies eventually[8,∞]globally(IL1β(t) > c(high))",0.29982978,"globally[7,∞](IL1β(t) < c(mid)) implies eventually[8,∞]globally(IL1β(t) > c(high))",0.29982978,0,0,2
N/A,N/A,N/A,N/A,N/A,N/A,0,0,0
"globally[1,7](IFNβ(t)=c(high) implies IFNα(t) = c(low))
and eventually[8,15]globally(IFNβ(t)=c(high) implies IL1β(t) > c(high))",0.29982978,"globally[1,7](IFNβ(t)=c(high) implies IFNα(t) = c(low))
and eventually[8,15]globally(IFNβ(t)=c(high) implies IL1β(t) > c(high))",0.29982978,"globally[1,7](IFNβ(t)=c(high) implies IFNα(t) = c(low))
and eventually[8,15]globally(IFNβ(t)=c(high) implies IL1β(t) > c(high))",0.29982978,0,0,2
