Semantic attempt 0,Semantic attempt 0 sim,Semantic attempt 1,Semantic attempt 1 sim,Semantic attempt 2,Semantic attempt 2 sim,Number of improving translations (relative to initial result),Number of worsening translations (relative to initial result),Number of consistent translations (relative to initial result)
IFNβ(t) < c(mid) implies IL1RN(t) < c(mid),0.44936657,"d_IL6(t) > c(high) and eventually[1,∞]globally(d_IL6(t) < d_c(low))",0.6976932,"d_IL6(t) > c(high) and eventually[1,∞]globally(d_IL6(t) < d_c(low))",0.6976932,2,0,0
IL6(t)=c(high) implies d_IL6(t) < d_c(low),0.642012,IL6(t)=c(high) implies d_IL6(t) < d_c(low),0.642012,IL6(t)=c(high) implies d_IL6(t) < d_c(low),0.642012,0,0,2
"globally[0,∞](IL6(t) < c(high)) and eventually[1,∞]globally(IL6(t) < c(high))",0.68724906,"globally[0,∞](IL6(t) < c(high)) and eventually[1,∞]globally(IL6(t) < c(high))",0.68724906,"globally[0,∞](IL6(t) < c(high)) and eventually[1,∞]globally(IL6(t) < c(high))",0.68724906,0,0,2
"globally[5,∞](TNFα(t) < c(low)) and IL6(t) > c(low)",0.7242456,"globally[5,∞](TNFα(t) < c(low)) and IL6(t) > c(low)",0.7242456,"globally[5,∞](TNFα(t) < c(low)) and IL6(t) > c(low)",0.7242456,0,0,2
N/A,N/A,N/A,N/A,N/A,N/A,0,0,2
IL6(t) > c(high) and d_IL6(t) < 0,0.71578306,IL1β(t) < c(mid) implies IL6(t) = c(high),0.79702044,IL1β(t) < c(mid) implies IL6(t) = c(high),0.79702044,2,0,0
IL6(t) < c(high) and IFNα(t) > c(low),0.7074594,IL6(t) < c(high) and IFNα(t) > c(low),0.7074594,IL6(t) < c(high) and IFNα(t) > c(low),0.7074594,0,0,2
"d_IL6(t)=0 and eventually[1,∞]globally(d_IL6(t) < d_c(high))",0.62378514,"d_IL6(t)=0 and eventually[1,∞]globally(d_IL6(t) < d_c(high))",0.62378514,"eventually[6,15]globally(d_IL6(t)=0)
and
IL1Ra(t) < c(mid)",0.70490825,1,0,1
"eventually[8,10](d_IL6(t)=c(high)) implies globally[0,∞](IL6(t) < c(mid))",0.7198384,"eventually[8,10](d_IL6(t)=c(high)) implies globally[0,∞](IL6(t) < c(mid))",0.7198384,"eventually[8,10](d_IL6(t)=c(high)) implies globally[0,∞](IL6(t) < c(mid))",0.7198384,0,0,2
"globally[1,7](d_IL6(t) > d_c(low))",0.63814276,"globally[1,7](d_IL6(t) > d_c(low))",0.63814276,"eventually[0,∞]globally(IL6(t)=c(high) implies IL1β(t) < c(low))",0.7611472,1,0,1
"globally[14,∞](d_IL6(t) < c(high) and d_IL8(t) > d_c(low))",0.6639154,"globally[1,∞](d_IL6(t) = c(high) implies d_IL6(t) < 0)",0.69212437,"globally[1,∞](d_IL6(t) = c(high) implies d_IL6(t) < 0)",0.69212437,2,0,0
"IL6(t) > c(mid) and eventually[0,∞]globally(d_IL6(t) < 0)",0.7439289,"IL6(t) > c(mid) and eventually[0,∞]globally(d_IL6(t) < 0)",0.7439289,"IL6(t) > c(mid) and eventually[0,∞]globally(d_IL6(t) < 0)",0.7439289,0,0,2
"IL6(t) < c(mid) and d_IL6(t) < d_c(low) and globally[15,∞](d_IL1β(t) > d_c(high) implies d_IL1β(t) < 0)",0.7156573,"IL6(t) < c(mid) and d_IL6(t) < d_c(low) and globally[15,∞](d_IL1β(t) > d_c(high) implies d_IL1β(t) < 0)",0.7156573,"IL6(t) < c(mid) and d_IL6(t) < d_c(low) and globally[15,∞](d_IL1β(t) > d_c(high) implies d_IL1β(t) < 0)",0.7156573,0,0,2
IL6(t) = c(high) implies d_IL6(t) < 0,0.68822825,IL6(t) = c(high) implies d_IL6(t) < 0,0.68822825,IL6(t) = c(high) implies d_IL6(t) < 0,0.68822825,0,0,2
"globally[1,7](IL6(t) = c(high)) and globally[1,∞](d_IL6(t) < d_c(high))",0.6974975,"globally[1,7](IL6(t) = c(high)) and globally[1,∞](d_IL6(t) < d_c(high))",0.6974975,"globally[1,7](IL6(t) = c(high)) and globally[1,∞](d_IL6(t) < d_c(high))",0.6974975,0,0,2
IL6(t)=c(high) implies d_IL6(t) < d_c(high) and d_IL6(t) = d_c(high) implies d_IL6(t) < d_c(high),0.59659237,d_IL6(t) = c(high),0.640238,d_IL6(t) = c(high),0.640238,2,0,0
N/A,N/A,N/A,N/A,N/A,N/A,0,0,2
"IL6(t) > c(high) and eventually[1,∞]globally(IL6(t) < c(low))",0.7442336,"IL6(t) > c(high) and eventually[1,∞]globally(IL6(t) < c(low))",0.7442336,"IL6(t) > c(high) and eventually[1,∞]globally(IL6(t) < c(low))",0.7442336,0,0,2
