Semantic attempt 0,Semantic attempt 0 sim,Semantic attempt 1,Semantic attempt 1 sim,Semantic attempt 2,Semantic attempt 2 sim,Number of improving translations (relative to initial result),Number of worsening translations (relative to initial result),Number of consistent translations (relative to initial result)
"eventually[1,7](RANTES(t) > c(high)) and RANTES(t) > c(mid) and RANTES(t) > c(low) and globally[1,7](RANTES(t) > c(high)) and globally[1,7](RANTES(t) > c(mid)) and globally[1,7](RANTES(t) > c(low))",0.59090877,N/A,N/A,N/A,N/A,0,2,0
"eventually[1,1]globally(RANTES(t) > c(high))",0.46998549,"eventually[1,7]globally(RANTES(t) > c(high) and IL6(t) < c(mid)) and globally[1,7](RANTES(t) > c(high) implies RANTES(t) = c(high)) and eventually[1,7]globally(RANTES(t) > c(high) and IL6(t) < c(mid)) and eventually[3,4]globally(RANTES(t) > c(high) and IL6(t) < c(mid))",0.5551239,"eventually[1,7]globally(RANTES(t) > c(mid)) and globally[1,7](RANTES(t) > c(low)) and eventually[1,7]globally(RANTES(t) > c(mid)) and eventually[1,7]globally(RANTES(t) > c(high)) and eventually[1,7]globally(RANTES(t) > c(mid)) and eventually[1,7]globally(RANTES(t) > c(mid))",0.58069015,2,0,0
"eventually[0,1] (d_RANTES(t) > d_c(high))",0.37709796,"eventually[1,7](RANTES(t) > c(high)) and RANTES(t) = c(mid) and eventually[1,7](RANTES(t) > c(high)) and RANTES(t) = c(mid) and eventually[3,4](RANTES(t) > c(high))",0.60567516,N/A,N/A,1,1,0
"d_RANTES(t) > c(high) and eventually[0,inf]globally(d_RANTES(t) > d_c(high) and d_RANTES(t) > c(high))",0.50405765,"eventually[1,7]globally(RANTES(t) > c(mid)) implies globally[1,7](RANTES(t) = c(high)) and eventually[1,7]globally(RANTES(t) > c(low)) implies globally[1,7](RANTES(t) = c(high)) and eventually[1,7]globally(RANTES(t) > c(mid)) implies globally[1,7](RANTES(t) = c(high))",0.5356221,"eventually[1,7]globally(RANTES(t) > c(mid)) and eventually[1,7]globally(RANTES(t) > c(low)) and eventually[1,7]globally(RANTES(t) > c(high)) and eventually[3,4]globally(RANTES(t) > c(mid))",0.59916246,2,0,0
"d_RANTES(t) > d_c(high) and eventually[1,7]globally(d_RANTES(t) > d_c(high)) and d_RANTES(t) > d_c(high) and eventually[3,4]globally(d_RANTES(t) > d_c(high))",0.37944221,"eventually[1,7](RANTES(t) > c(high)) and eventually[1,7](RANTES(t) > c(high)) and globally[1,7](RANTES(t) = c(high)) and eventually[1,7](RANTES(t) > c(high))",0.5210908,"eventually[1,7](d_RANTES(t) > d_c(high) and RANTES(t) > c(high)) and globally[1,7](RANTES(t) > c(high))",0.53076684,2,0,0
N/A,N/A,N/A,N/A,N/A,N/A,0,0,0
"RANTES(t) > c(mid) and RANTES(t) > c(low) and d_RANTES(t) < d_c(low) and eventually[1,1]globally(RANTES(t) > c(mid)) and eventually[1,1]globally(RANTES(t) > c(low))",0.54536563,"eventually[1,7](RANTES(t)=c(high)) and globally[1,7](RANTES(t) > c(low)) and eventually[3,4](RANTES(t) > c(low))",0.5597775,N/A,N/A,1,1,0
N/A,N/A,N/A,N/A,N/A,N/A,0,0,0
"eventually[1,7]globally(RANTES(t)=c(high)) and eventually[1,7]globally(RANTES(t) > c(low)) and eventually[1,7]globally(RANTES(t) > c(mid))",0.59509385,"eventually[1,4]globally(RANTES(t)=c(high) and RANTES(t)=c(high)) and eventually[1,4]globally(RANTES(t)=c(high)) and eventually[1,4]globally(RANTES(t)=c(high))",0.54543895,N/A,N/A,0,2,0
"RANTES(t) > c(mid) and eventually[1,7]globally(d_RANTES(t) > d_c(high))",0.5444168,N/A,N/A,N/A,N/A,0,2,0
"RANTES(t) > c(high) and RANTES(t) > c(mid) and globally[1,1](RANTES(t) > c(high)) and eventually[1,3]globally(RANTES(t) > c(high)) and RANTES(t) > c(high) and RANTES(t) > c(mid)",0.5678985,"RANTES(t) > c(high) and RANTES(t) > c(mid) and RANTES(t) > c(low) and eventually[1,7](RANTES(t) > c(high)) and eventually[1,7](RANTES(t) > c(mid)) and eventually[1,7](RANTES(t) > c(low)) and RANTES(t) = c(high) and RANTES(t) = c(mid) and RANTES(t) = c(low)",0.5795935,RANTES(t) > c(high) and RANTES(t) > c(mid) and RANTES(t) > c(low) and RANTES(t) > c(high) and RANTES(t) > c(mid) and RANTES(t) > c(low) and RANTES(t) > c(high) and RANTES(t) > c(mid) and RANTES(t) > c(low),0.43338415,1,1,0
"eventually[1,inf]globally(RANTES(t) > c(high) and d_RANTES(t)=0)",0.47103953,"eventually[1,7](RANTES(t) > c(high) and RANTES(t) > c(mid)) and eventually[1,7](RANTES(t) > c(high)) and eventually[1,7](RANTES(t) > c(high)) and eventually[1,7](RANTES(t) > c(high)) and eventually[1,7](RANTES(t) > c(high)) and eventually[1,7](RANTES(t) > c(high))",0.5522319,"eventually[1,inf]globally(RANTES(t) > c(high)) and globally[1,inf](RANTES(t) = c(high))",0.44531757,1,1,0
"eventually[1,inf]globally(RANTES(t) > c(high)) and eventually[1,inf]globally(RANTES(t) > c(high))",0.41966298,N/A,N/A,N/A,N/A,0,2,0
N/A,N/A,N/A,N/A,N/A,N/A,0,0,0
"eventually[1,1](RANTES(t) > c(high)) and globally[1,inf](RANTES(t) > c(high)) and eventually[1,inf](RANTES(t) > c(high)) and eventually[1,inf](RANTES(t) > c(high)) and eventually[1,inf](RANTES(t) > c(high))",0.42542487,N/A,N/A,"eventually[1,7](RANTES(t) > c(high)) and RANTES(t) = c(mid) and eventually[1,7](RANTES(t) > c(high)) and RANTES(t) = c(mid) and eventually[1,7](RANTES(t) > c(high)) and RANTES(t) = c(mid)",0.60770035,1,1,0
